id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B000BMIA4U,True,True,calibration_expensive,2.0,2.0
B000KPVPD6,True,False,cheap,-2.0,2.0
B001B2WLFI,True,True,cheap,2.0,2.0
B001W3KZQS,True,False,calibration_expensive,-2.0,2.0
B002D4E8MW,True,False,cheap,-2.0,2.0
B003VMTH7G,True,False,calibration_expensive,2.0,2.0
B0053JT13A,True,False,cheap,-2.0,2.0
B005FD4E5Y,True,True,cheap,2.0,2.0
B009ETY6YY,True,True,calibration_expensive,2.0,2.0
B009VJV262,True,False,cheap,-2.0,2.0
B00BH07U2I,True,True,calibration_expensive,2.0,2.0
B00C3CNEBA,True,True,cheap,2.0,2.0
B00DGXVQEC,True,True,cheap,2.0,2.0
B00E6FVT3C,True,False,calibration_expensive,-2.0,2.0
B00E9ASWS4,True,False,cheap,-2.0,2.0
B00I2GXYW0,True,False,calibration_expensive,-2.0,2.0
B00JVL6KIK,True,True,cheap,2.0,2.0
B00JZ6B2WU,True,False,cheap,-2.0,2.0
B00K58ZCY6,True,False,calibration_expensive,-2.0,2.0
B00KMR6RY4,True,False,cheap,-2.0,2.0
B00KWTDF42,True,False,cheap,-2.0,2.0
B00NB0DIP0,True,False,calibration_expensive,2.0,2.0
B00NP9YQTE,True,False,cheap,-2.0,2.0
B00NWN1FJ2,True,True,calibration_expensive,2.0,2.0
B00O9X2N68,True,False,cheap,-2.0,2.0
B00OT69HSW,True,True,cheap,2.0,2.0
B00OURNH6S,True,True,calibration_expensive,2.0,2.0
B00OWK9NPM,True,False,cheap,-2.0,2.0
B00QGQIX92,True,False,calibration_expensive,-2.0,2.0
B00QQ9448S,True,False,cheap,-2.0,2.0
B00TPK00XS,True,False,cheap,-2.0,2.0
B00TPK047K,True,True,calibration_expensive,2.0,2.0
B00VNBH26A,True,True,cheap,2.0,2.0
B00VSC580G,True,True,cheap,2.0,2.0
B00X40I2G2,True,True,calibration_expensive,2.0,2.0
B00X7DHG3Q,True,False,cheap,-2.0,2.0
B00XKTH19Q,True,True,calibration_expensive,2.0,2.0
B00Y2GDFKK,True,False,cheap,-2.0,2.0
B011HY0PQQ,True,True,cheap,2.0,2.0
B0144WZTNW,True,True,calibration_expensive,2.0,2.0
B014ZZ0ZNM,True,True,cheap,2.0,2.0
B015K81ZZ0,True,False,calibration_expensive,-2.0,2.0
B015MTR6M8,True,False,cheap,-2.0,2.0
B015NXWGH8,True,False,cheap,-2.0,2.0
B015OTNIWS,True,False,calibration_expensive,-2.0,2.0
B015Q0JVBM,True,False,cheap,-2.0,2.0
B017Z4E9IW,True,False,calibration_expensive,-2.0,2.0
B019XDUG3U,True,False,cheap,-2.0,2.0
B01F9B7UKC,True,False,cheap,-2.0,2.0
B01G5ADF28,True,False,calibration_expensive,-2.0,2.0
