suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,27.416140988003463,49,0,49,0.0,27.392536162980832,0.9,20,0,0.0,
5q,q_01,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.680283225956373,49,0,49,0.0,21.656058221124113,0.9,20,0,0.0,
5q,q_01,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.744700428040233,49,0,49,0.0,21.720279686152935,0.9,20,0,0.0,
5q,q_01,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.611139350978192,49,0,49,0.0,21.586552171211224,0.9,20,0,0.0,
5q,q_01,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.67013321799459,49,0,49,0.0,21.64511964819394,0.9,20,0,0.0,
5q,q_01,suql_baseline,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.679991380951833,49,0,49,0.0,21.657096531882416,0.9,20,0,0.0,
5q,q_01,suql_baseline,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.459667326998897,49,0,49,0.0,21.436386270041112,0.9,20,0,0.0,
5q,q_01,suql_baseline,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.447900430997834,49,0,49,0.0,21.425047723110765,0.9,20,0,0.0,
5q,q_01,suql_baseline,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.593170970969368,49,0,49,0.0,21.57011290889932,0.9,20,0,0.0,
5q,q_01,suql_baseline,10,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.644789589976426,49,0,49,0.0,21.621081428951584,0.9,20,0,0.0,
5q,q_01,suql_v1,1,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,49.51125750999199,70,50,20,40.70404387888266,8.787727997871116,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,2,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.510551930987276,70,50,20,37.71362907416187,8.775237295893021,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,3,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.3070873899851,70,50,20,37.56401935010217,8.720060507126618,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,4,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.28879634896293,70,50,20,37.475949450803455,8.79167048202362,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,5,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.17763943999307,70,50,20,37.388035476906225,8.7690383180161,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,6,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.279356884013396,70,50,20,37.469659646914806,8.788304819026962,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,7,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.54836019000504,70,50,20,37.688702284300234,8.83989174402086,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,8,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.46235465101199,70,50,20,37.683259665907826,8.759100607945584,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,9,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.59229071397567,70,50,20,37.7422786738025,8.828923502122052,0.9,20,20,0.95,2.0
5q,q_01,suql_v1,10,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,46.60852764802985,70,50,20,37.73312418506248,8.855316076078452,0.9,20,20,0.95,2.0
5q,q_01,trummer_baseline,1,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,18.520943487994373,19,0,19,0.0,16.824935374839697,0.9,20,0,0.0,
5q,q_01,trummer_baseline,2,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.856406692008022,19,0,19,0.0,15.789986098068766,0.9,20,0,0.0,
5q,q_01,trummer_baseline,3,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.842124310031068,19,0,19,0.0,15.77696945372736,0.9,20,0,0.0,
5q,q_01,trummer_baseline,4,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.83691356802592,19,0,19,0.0,15.773746106075123,0.9,20,0,0.0,
5q,q_01,trummer_baseline,5,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.813922625035048,19,0,19,0.0,15.749534984061029,0.9,20,0,0.0,
5q,q_01,trummer_baseline,6,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.78998069500085,19,0,19,0.0,15.724131633178331,0.9,20,0,0.0,
5q,q_01,trummer_baseline,7,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.797336922958493,19,0,19,0.0,15.72943006909918,0.9,20,0,0.0,
5q,q_01,trummer_baseline,8,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.807976415962912,19,0,19,0.0,15.744849334936589,0.9,20,0,0.0,
5q,q_01,trummer_baseline,9,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.813674496021122,19,0,19,0.0,15.746724928030744,0.9,20,0,0.0,
5q,q_01,trummer_baseline,10,15,37,15,22,0,0.40540540540540543,1.0,0.5769230769230769,15.788268862990662,19,0,19,0.0,15.723085477948189,0.9,20,0,0.0,
5q,q_01,trummer_v1,1,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.411776950000785,8,7,1,15.725114865985233,1.6739324699738063,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,2,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.94793310703244,8,7,1,15.277629789954517,1.6542020209599286,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,3,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.94125122902915,8,7,1,15.273801375878975,1.6539498830097727,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,4,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.941604146035388,8,7,1,15.283406535920221,1.6438424779917113,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,5,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.95558952400461,8,7,1,15.282667115912773,1.6616276210406795,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,6,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.949857858999167,8,7,1,15.279819165996742,1.6552166849724017,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,7,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.973239095008466,8,7,1,15.294823492062278,1.6651209039846435,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,8,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.95460669399472,8,7,1,15.282082219026051,1.6592710749828257,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,9,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.940847315010615,8,7,1,15.276305931969546,1.6484288860228844,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,10,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.943951139983255,8,7,1,15.27909315598663,1.6511054369620979,0.9,20,20,0.9,0.0
5q,q_02,suql_baseline,1,15,24,14,10,1,0.5833333333333334,0.9333333333333333,0.7179487179487181,21.75040619802894,47,0,47,0.0,21.727351540175732,0.9,20,0,0.0,
5q,q_02,suql_baseline,2,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.592764409957454,47,0,47,0.0,21.570012798998505,0.9,20,0,0.0,
5q,q_02,suql_baseline,3,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.510892368969508,47,0,47,0.0,21.488921689800918,0.9,20,0,0.0,
5q,q_02,suql_baseline,4,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.531064606038854,47,0,47,0.0,21.507893657893874,0.9,20,0,0.0,
5q,q_02,suql_baseline,5,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.543939349008724,47,0,47,0.0,21.517035073251463,0.9,20,0,0.0,
5q,q_02,suql_baseline,6,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.476513493980747,47,0,47,0.0,21.45391486911103,0.9,20,0,0.0,
5q,q_02,suql_baseline,7,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.458681810996495,47,0,47,0.0,21.434929570939858,0.9,20,0,0.0,
5q,q_02,suql_baseline,8,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.484077222005,47,0,47,0.0,21.458437208784744,0.9,20,0,0.0,
5q,q_02,suql_baseline,9,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.493784496968146,47,0,47,0.0,21.469721669971477,0.9,20,0,0.0,
5q,q_02,suql_baseline,10,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.40278370701708,47,0,47,0.0,21.379074956988916,0.9,20,0,0.0,
5q,q_02,suql_v1,1,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.657434249995276,97,50,47,38.19293367408682,21.438188330968842,0.9,20,20,0.85,
5q,q_02,suql_v1,2,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.18358726100996,97,50,47,37.56552557181567,21.592276045004837,0.9,20,20,0.85,
5q,q_02,suql_v1,3,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.25379074399825,97,50,47,37.58721275511198,21.640013175143395,0.9,20,20,0.85,
5q,q_02,suql_v1,4,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.44629990099929,97,50,47,37.83911068877205,21.580620567896403,0.9,20,20,0.85,
5q,q_02,suql_v1,5,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.22259144496638,97,50,47,37.531877067056485,21.664895828755107,0.9,20,20,0.85,
5q,q_02,suql_v1,6,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.36355044494849,97,50,47,37.85602739977185,21.482556388247758,0.9,20,20,0.85,
5q,q_02,suql_v1,7,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.302130352996755,97,50,47,37.71545424283249,21.562633688154165,0.9,20,20,0.85,
5q,q_02,suql_v1,8,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.38145007297862,97,50,47,37.729369417822454,21.622737640165724,0.9,20,20,0.85,
5q,q_02,suql_v1,9,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.09314832399832,97,50,47,37.517698756128084,21.550776644260623,0.9,20,20,0.85,
5q,q_02,suql_v1,10,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,59.114452322013676,97,50,47,37.56623604882043,21.523269004945178,0.9,20,20,0.85,
5q,q_02,trummer_baseline,1,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,17.840655709966086,16,0,16,0.0,17.781787393265404,0.9,20,0,0.0,
5q,q_02,trummer_baseline,2,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.65750479302369,16,0,16,0.0,16.599674561002757,0.9,20,0,0.0,
5q,q_02,trummer_baseline,3,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.628595463000238,16,0,16,0.0,16.56621496588923,0.9,20,0,0.0,
5q,q_02,trummer_baseline,4,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.619941772019956,16,0,16,0.0,16.561462551006116,0.9,20,0,0.0,
5q,q_02,trummer_baseline,5,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.623622778977733,16,0,16,0.0,16.563342168054078,0.9,20,0,0.0,
5q,q_02,trummer_baseline,6,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.609654195024632,16,0,16,0.0,16.551353862974793,0.9,20,0,0.0,
5q,q_02,trummer_baseline,7,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.58687400497729,16,0,16,0.0,16.5301042139763,0.9,20,0,0.0,
