product_id,title,brand,category,price,review
B010FLYXW4,PanDaDa Baby Boys Giraffe T-shirt Tops Long Sleeve Pants Tracksuit Sport Suit,PanDaDa,,,"The top actually fit my baby just fine but the pants fit my 3 year old nephew. I can't imagine a child that the shirt and the pants would fit at the same time. It is too bad because this is such an adorable set. I gave it two stars because I love the shirt so much. Maybe I can convince someone with a sewing machine to alter the pants.

Super cute and super soft but runs sooooo large!

I ordered a 6-12 year size and it would fit a 2 year old. This runs huge! On a better note, the material is great quality and it is very cute. I can't wait til my son grows in to it!

Oredered for my baby and it still to big to wear it. So I won't know if I like it till then.

Very cute. However this was sized in like Chinese sizes so When I gave it as a gift I had to let them know what the actual american baby sizes were.

If your planning on ordering 0-6months...be prepared to recieve an outfit thats equivalent to a 2T. My son will not be able to wear this forever!!!

Shirt fits my 6 month old son, pants are long enough to fit his dad!!

Way too big. Ordered the smallest size for my soon to be born son. Got it today, it fits my 2 year old. Did receive it sooner than predicted.

So cute. Brought as a PJ

These pants are for a stick baby, they have a tiny waist and are really long. And then the shirt is tiny.

I knew this ran large and ordered it anyways. It's nice thick fabric. Good quality. It can be worn probably at 12months. It'd be a good baby shower gift. Super cute.

Very soft fabric.....great print....already washed a couple of times and still looks great.

Adorable and super soft! 0-6 month which is a Chinese 80 fits my average build 7 month old (18lbs). Pants are a little long but I rolled them and it looks super cute! So definitely size down and you'll be fine! Not for stalky chubby babies for sure though!"
B011N5WOFO,Moment Gear Harry Potter Spells Lightning Bolt Mens Tee Shirt,Moment Gear,,,"I bought the white fleck color, 3X size of this shirt and it fits very well on me (I am a full figured woman). I liked how the sleeve length wasn't too short, it reached to about 2 inches above my elbows. The collar was the right fit, not too tight or loose. The fabric is very soft but a little see through; I usually wear a camisole underneath. The neck tag is soft too, I hardly notice it's there. I have washed this in the gentle/delicate cycle with cool water followed up with the same delicate settings in the dryer several times. So far the shirt has not shrunk nor been misshapen. The letters still remain legible on the shirt. What really drew me to this shirt was the design: it's very Harry Potter geek-chic without being over-the-top. I feel comfortable wearing it to the office on casual Fridays. Overall I am really happy with this purchase."
B015N31A2K,"PHOENISING Classic Plaid Thicken Lining Warm Shirt,XL / Tag Asian 2XL,Green Yellow",PHOENISING,,,"Large and extra large are both too small for a usual medium wearer.

I thought it would be a little thicker, but it is good. It is also a little shorter length than I thought it would be. But it is fine. I just wish it came in larger sizes. I am 5'4"" and 149 lbs and it barely fits with a very thin shirt underneath. I like the color and the lining is very soft.

I bought this to be bigger on me, so I got an XL... And it came out to fit me just right. Thank goodness i didn't purchase to my true size or it wouldn't have fit! The material is nice and thick and will definitely keep me warm. The care instructions are in Chinese so I'm hoping me washing it on normal/cold cycle won't ruin it.

Great shirt had to give it to my daughter -the X-Large was a very size Small-very disappointed !!!!

Super soft and nice looking but too small. I wear us size 12 and ordered 2XL. Would probably work well for a size 8 with some room to move"
B017YRLKFU,"Fiream Kid Cotton Cartoon Fleece Pullover Hooded Sweatshirt (5T, Grey)",,,,"Nice soft thick sweatshirt, 5t was roomy but not huge on my tall 3 year old. Definitely a good buy!"
B01EVXLDES,JAG Jeans Women's Roan Shirt L Henna,,,,"Great quality material, very comfortable and soft. I wore this under an off-white light-weight sweater. Very beautiful!"
B00VWGHC2K,ANDI ROSE Women’s Summer Stripe Pocket Short Sleeve Casual Loose T-shirt Tops (Blue&White),ANDI ROSE,,,"It's a beautiful summer top. It has a nice loose fit and the fabric is soft and very comfortable. The blue stripe a bit lighter not too much but beautiful. ....

I love nautical themes therefore I love the blue and white stripes. Unfortunately this is more black-and-white. Don't order if you're expecting maybe blue and white because it isn't. It's so dark it might as well be black. Very unsatisfied and a waste of money"
B01H47JIHC,"Polo Ralph Lauren Womens V-neck Jersey T-shirt (M, Black Yellow Pony)",Polo Ralph Lauren,,,Very soft fabric. However this t-shirt fits small. I ordered a medium. Ah do not put in the dryer!! Other than that great t shirt
B00NT2I396,0.0 Because Running Sucks T-Shirt Medium Yellow,,,,It is a nice soft tee shirt. My runner husband got it for me to wear to his races! Pretty much sums up how I feel.
B00K0MUH88,"Lets Stop Bodyshaming Crewneck T-Shirt (White, Size Small)",,,,"comfortable material

Cute decal, decent fabric, but the image is way smaller on the shirt than it is in the picture."
B00B551GQ6,Pierce The Veil PTV Sweatshirt X-Large,Pierce the Veil,,,"I love it. Its my favorite crew neck ever.

Came in a day early and fits perfect!

I love this sweater!!!!! it so warm and comfy and its also my favorite band!!! its so thick and soft, a must have!

THIS IS THE BEST SWEATSHIRT I EVER BOUGHT! this was a reasonable price for the sweatshirt too!! if i could rate it higher i would you should totally buy this if you were looking for it"
