product_id,review
B00MQNOS5M,I bought this coat for 24-year old daughter who wears an American size 2. I wanted her to get a size Medium but she wanted a Small since she usually wears an Extra Small. Well you should always listen to your mother.... We had to send the coat back and exchange for a Medium. I dreaded this since it came from China but the customer service was great. We exchanged emails and I actually mailed the coat to New York. Once I sent them the tracking number they shipped a new coat from China. If you have bigger arms this coat will not work for you but the medium fit my daughter fine with room for a sweater. The fur you see around the collar goes down the front like a warm scarf and is Mongolian sheep so no animal was killed just given a haircut. All in all a beautiful coat and great customer service.... a pleasant experience!
B00MPFCBM8,"I love this cardigan. It is stylish and keeps you very warm. I had a button fall off already, but that was an easy fix. Definitely got my money's worth."
B00PAMS63G,"The material is a bit differnt than expected, but will do.

Beautifully made.

Nicely made. Stylish and warm.

Horrible experience, Will never purchase another thing from this suplier."
B019XIFJBO,"The medium size fit me well. It also looks good and it feels good too. The only problem is the part that goes around the waist tends to curl up which does not look good and is annoying.

Color is nice, warm weight, but daughter finally decided not for her. She needed a small for the torso to fit well (smallest available was medium) but sleeves would probably be too short in a small. She will exchange for a different top."
B00PBVVF8E,"This jacket is really great. The look has a nice modern feel to it but it also has a classic look. The denim part of the jacket feels like a nice quality. The stitching seems strong, so this jacket should last for a long time. The jacket fits as expected. Overall, this is a great quality jacket. Please note, I received this product at a discounted rate in exchange for a review

Run true to size fit really well

The item was as expected, and looks really good. I've been looking for a casual jacket to wear to school and when going out with friends, and I think this is the one. I would recommend buy a size up then your regular size. The quality looks very nice, and the jean in it looks amazing. I received a discounted product in exchange for an honest review. I have to give this item 5 stars and here is why: 1. Fast shipping. 2. Well made and looks great in person. 3. Good price. If you are planning to buy this jacket, have someone measure and take notes: 1. Chest. Around whole body. 2. Arm length. From shoulder to wrist. 3. Shoulders. From should to shoulder across. 4. Waist. All the way around. *I received this product at a discount for an honest review.

perfect... its my favorite now

I have to give this item 5 stars and here is why: 1. Fast shipping (12 days to California). 2. Well made and looks great in person. 3. Good price. If you are planning to buy this jacket, have someone measure and take notes: 1. Chest. Around whole body. 2. Arm length. From shoulder to wrist. 3. Shoulders. From should to shoulder across. 4. Waist. All the way around. Next, take this information and order the size that falls within these parameters. I ordered the large and it fit perfect! The only negative point was the buttons on the front rattle, making noise. No big deal though.

Definitely order two to three sizes larger than what you normally wear.

Cool looking jacket just wished it fit. I Ordered an ""ASIA 4XL"" which is stated as an ""US XL"" and in my opinion fits like a medium, could not make it work. I am 6'0"" 180 athletic build.

This jacket is very nice and comfortable. But if you are 6'2 like me, don't order this. It's to short. And very big on the sides.

Its small than expected

So I read all the reviews and ordered a size up. I normally wear a large in men's, so I ordered a US XL in this denim jacket (the Asian equivalent of a 4XL) . I love this jacket and the length of the sleeves are perfect, but I will say that it's still a little tighter than what I was expecting so I will have to keep it unbuttoned all the time. I would say this definitely runs 2 sizes too small, so keep that in mind. The hood detaches with little black buttons which kind of stick out on the light gray fabric. White buttons would have looked much better, but no biggie. Overall, this is a great denim jacket for a great price -- but I would say order 2 US sizes up from the one you actually wear if you want to layer this over something and still be able to button it closed comfortably.

was a christmas present for my uncle and he loves loves loves it!

So pissed just got it in the mail it's supposed to be a 4XL but it's really an 1XL..Was buying this for someone for Christmas thanks for nothing.

Only confusing factor (which they do explain) is the sizing. Just know that if you wear a large get an xl and expect the tag to say 4xl lol but its still very nice

I ordered this for my husband according to his measurements. We ordered an XL and unfortunately it's just a little bit too snug. He can wear it open but it's a little uncomfortable when it's buttoned up. He's very broaden the shoulders and chest so it may just be his body shape. For an average or more narrow-bodied man it should be fine. The denim is thick but I think the sleeves and hood could be a little thicker for warmth. It's well-made and it looks really nice and fashionable when it's worn. Very happy with it! I received this product at a discount in exchange for my honest review.

My fiance was looking for"
B015XTF5U2,"This coat was super small!!! I got an XXL due to it saying it runs small. It was like for a thin child! The material was also very cheap, plastic like. Not worth it at all!!!!!!

Not good quality and they didn't include hood!

The extra large is small thus I am returning! Poor quality & disappointed!

<div id=""video-block-R72GSNQRG1ZQC"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/C1mMRPQSPaS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91RWoHm9cuS.png"" class=""video-slate-img-url"">&nbsp;This is a light nylon raincoat. It is waterproof (see water test in my video). This raincoat is not warm but it works very well to protect from rain. The tricky part is to get the size right. Asian sizes are different from American sizes (typically two sizes smaller) and not all sellers make it clear if the drop down list with sizes shows American or Asian sizes. Do not use the link to the chart size at the top of the listing. The seller included Sizing table in the product description. When I measured my raincoat with the measuring tape and compared it to the size chart they were accurate within one inch and my raincoat is a good fit. The raincoat includes a detachable hood and belt. The raincoat closes with large buttons and the hood is attached by 4 small buttons. This raincoat is provided to me by Bluetime to test the product and fit as part of a new product introduction. Ali Julia review

Way, way, way too small!

I returned this product.

Like the fact that it's light but a bit on the small size should of gone a size up?

I got a medium size and it fit as expected. I would recommend this to anyone . Material is very nice and it looks very stylish on.. I love it!

Thin didn't hold water off for very long

some what small, good quality,use it all the time.

VERY CHEAP-LOOKING.

It was small but I used it for a hike in the rain and got soaked through! Not waterproof at all. I am returning it.

Xxl is a closer fit for my 10 yr old 45lb daughter!

I LIKE THE WAY IT LOOKS ON ME WISH IT WAS A LITTLE THICKER BUT I WILL BUY ANOTHER AFTER MY NEW ONE HAD IT'S USE.

Ordered the XXL, and it fits my tiny size small roommate perfectly. Flimsy and cheap. Don't bother."
B019RX3WLE,"love, love, love this coat! It is super warm & was a reasonable price. I liked it so much that I am purchasing one another one for my son. It fits a little snug on the shoulders. I would recommend going one size up from what you would normally wear so you can be comfortable.

The coat was extremely bulky

Best"
B015FOT7SG,"I was very excited for this product but when it came in I quickly saw it was cheep material and way too small I got a large and it looks like a medium. I will not buy from this company again

Way too small. Extra large is more like a small.

sizing is way off-- I order XXL I wear a medium/large -TOO small--I gave it to my daughter- My nine year old fits it perfectly and she wears a girls sz 14..Nice jacket if the sizing was correct

The jacket is very comfy and warm and the lining is very nice as well, however the zipper is very cheap made. It often opens up from the bottom while being zipped and I do afraid to damage it after few more times of forced opening this jacket. UPDATE: I am decreasing 3 stars to 2, because the lining has ripped off after just couple of weeks of wearing. When I tried to fixed it, I found that the insulation of this jacket is NOT DOWN, it is regular polyester. Nevertheless the jacket is really warm, so it is not a big issue for me, but however worth of noting.

This was really cute - fit around the body but the arms were way too tight! I am a little disappointed. Also the quality was t too great. The lining was coming off a little where the tag is.

too small

like a lot!!!

I order my size that is a 2x only because they said it fits 100 percent its a cute jacket but its cut small plus its cut extra small under the arms of this jacket

This jacket looks nothing like the photo. In the photo it is very shapely but in reality, it is so weirdly constructed. It is very tight under the arms and then the rest of the jacket is big and puffy and longer. And the oddest thing: it has a cheap flimsy,exposed elastic going all around the bottom. What the heck! Going straight to Good Will!

Gave it to a small teenager. Asian sizes are way off for Americans. Would not recommend because it's also too difficult to return items and it takes an enormous amount time to receive items.

It is huge and shapeless

It's beautiful but it was too big.. So I can't use it

Too large

Just fine but a bit big.

This is VERY comfortable and warm. It is not cheap at all, and is very fashionable (not bulky or too puffy). It is a tiny bit small but not too small in my opinion. I ordered a large and it fit well. I have large arms and a large chest. It zips all the way up and is not too short. The hood is also big, which is a plus!

It is too large, and it looks so cheap. and I want to return it but nobody answer me.

This item seems to run a little small for the size it is suppose to be.

Quality not good

The only thing nice and this jacket I the color. The jacket fits way too big! And when I tried to return it the merchant gave me a really hard time! I wouldn't waste my time

zipper broke second day owning it

I wish it didn't have rubber in the sleeve and around the waist. Otherwise, the jacket is a great fit.

I gave it a one star because it was super beyond huge!!!! It does keep you warm, but doesn't look pretty when it's so big

Zipper is easy to took out when I do zip up.

Love it

too large and bulky

Way too small. I'm 5' 3"" 120 lbs and the large was too small. Cute coat though so I gave it to a skinny 15 year old

It stretches and runs big

It's great value for money, but somewhat smaller than expected. I ordered a L and its just right and almost tight for me. I normally order M.

nice coat fit true to size but the arms were tight on me

It's very good

Really nice quality coat. The only problem I have with it is that it's bigger than I'd hoped. I'm a medium everything and medium size is actually really big on me.

This size is not Small. I bought one size bigger than my size, because someone was review too small. So now little too big for me. But inside fabric of arm is little tight for normal size. Overall stitch good, very light weight, is warm and great price! I'm happy :)

I saw a review said it is too small, so I order a L size. I am 5'5"" tall, 114 Lb. I normally ware size 4. However, It turns out L is too large, bigger t"
B016DB721E,Beautiful coat not as warm as expected but comfortable! A little bigger than expected the color scheme was great have received a lot of complaints on it! Very happy with it all in all
B019491I8A,"It's a very unique design and is like wearing art. My mom gets many compliments. It is more of a close fit, than one expects from a hoodie. It does not add a lot of bulk and fits her figure. Mom is 5' 8"" and wears size 8 or 10. She is busty but its fine. .She got the medium and It looks good on. I like my hoodies roomier and don't care if it adds bulk or makes me look a bit bigger, I probably would get the size up.

Jacket was just as described and I love that it has a light liner for warmth. I have other jackets from Rising International that are not lined, and they are truly just for a shirt style cover and not added warmth. Nice product for the price."
