suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,28.42874416100676,49,0,49,0.0,28.40545817498787,0.9,20,0,0.0,
5q,q_01,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,22.06062324999948,49,0,49,0.0,22.03831620602432,0.9,20,0,0.0,
5q,q_01,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.90735416499956,49,0,49,0.0,21.885405363020254,0.9,20,0,0.0,
5q,q_01,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,22.03764102399873,49,0,49,0.0,22.015639045981516,0.9,20,0,0.0,
5q,q_01,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.76551973199821,49,0,49,0.0,21.74397350702202,0.9,20,0,0.0,
5q,q_01,suql_baseline,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.913008138995792,49,0,49,0.0,21.89212614900316,0.9,20,0,0.0,
5q,q_01,suql_baseline,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.72495343600167,49,0,49,0.0,21.70421595699736,0.9,20,0,0.0,
5q,q_01,suql_baseline,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.79120530599903,49,0,49,0.0,21.77054257599957,0.9,20,0,0.0,
5q,q_01,suql_baseline,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.87126058099966,49,0,49,0.0,21.85120233998896,0.9,20,0,0.0,
5q,q_01,suql_baseline,10,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.778736738997395,49,0,49,0.0,21.757073120985297,0.9,20,0,0.0,
5q,q_01,suql_v1,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,63.12575683600153,99,50,49,41.42259279097925,21.68028846201196,0.9,20,20,0.85,
5q,q_01,suql_v1,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,61.067338390996156,99,50,49,39.36464307097049,21.67998652699316,0.9,20,20,0.85,
5q,q_01,suql_v1,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,61.058764050998434,99,50,49,39.35239436700067,21.68413492997206,0.9,20,20,0.85,
5q,q_01,suql_v1,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,60.76023487099883,99,50,49,39.16221321297053,21.575141481029277,0.9,20,20,0.85,
5q,q_01,suql_v1,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,60.80787099200097,99,50,49,39.17349958302657,21.611990992001665,0.9,20,20,0.85,
5q,q_01,suql_v1,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,61.01485944099841,99,50,49,39.433267155021895,21.55856478302303,0.9,20,20,0.85,
5q,q_01,suql_v1,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,60.559249665995594,99,50,49,38.973774337042414,21.563768045023608,0.9,20,20,0.85,
5q,q_01,suql_v1,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,61.230449094000505,99,50,49,39.54534807797609,21.66295239601459,0.9,20,20,0.85,
5q,q_01,suql_v1,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,61.23926723799377,99,50,49,39.54643782497442,21.670227650953166,0.9,20,20,0.85,
