suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,suql_baseline,1,15,20,15,5,0,0.75,1.0,0.8571428571428571,25.75997413999721,49,0,49,0.0,25.73854635603493,0.9,20,0,0.0,
5q,q_01,suql_baseline,2,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.254490000996157,49,0,49,0.0,18.23092822101171,0.9,20,0,0.0,
5q,q_01,suql_baseline,3,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.185911380001926,49,0,49,0.0,18.163851651042933,0.9,20,0,0.0,
5q,q_01,suql_baseline,4,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.10533592599677,49,0,49,0.0,18.085571304982295,0.9,20,0,0.0,
5q,q_01,suql_baseline,5,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.158988050003245,49,0,49,0.0,18.13772935103043,0.9,20,0,0.0,
5q,q_01,suql_baseline,6,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.231378334006877,49,0,49,0.0,18.210378659015987,0.9,20,0,0.0,
5q,q_01,suql_baseline,7,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.138268059999973,49,0,49,0.0,18.117035903022042,0.9,20,0,0.0,
5q,q_01,suql_baseline,8,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.1847282719973,49,0,49,0.0,18.163160694995895,0.9,20,0,0.0,
5q,q_01,suql_baseline,9,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.256951019000553,49,0,49,0.0,18.234743111024727,0.9,20,0,0.0,
5q,q_01,suql_baseline,10,15,20,15,5,0,0.75,1.0,0.8571428571428571,18.1599114020064,49,0,49,0.0,18.137710893002804,0.9,20,0,0.0,
5q,q_01,suql_v1,1,15,20,15,5,0,0.75,1.0,0.8571428571428571,29.04358052000316,99,50,49,10.927414493977267,18.097013409998908,0.9,20,20,0.65,
5q,q_01,suql_v1,2,15,20,15,5,0,0.75,1.0,0.8571428571428571,27.718224919997738,99,50,49,9.6884001449871,18.01093827099976,0.9,20,20,0.65,
5q,q_01,suql_v1,3,15,20,15,5,0,0.75,1.0,0.8571428571428571,28.269644485000754,99,50,49,9.812827817055222,18.438790626983973,0.9,20,20,0.65,
5q,q_01,suql_v1,4,15,20,15,5,0,0.75,1.0,0.8571428571428571,28.439067821993376,99,50,49,9.992479662963888,18.429453466975247,0.9,20,20,0.65,
5q,q_01,suql_v1,5,15,20,15,5,0,0.75,1.0,0.8571428571428571,28.19556778200058,99,50,49,9.855351386984694,18.321267096987867,0.9,20,20,0.65,
5q,q_01,suql_v1,6,15,20,15,5,0,0.75,1.0,0.8571428571428571,27.92173375999846,99,50,49,9.745763274026103,18.157477792017744,0.9,20,20,0.65,
5q,q_01,suql_v1,7,15,20,15,5,0,0.75,1.0,0.8571428571428571,28.072052399998938,99,50,49,9.774816749995807,18.279501082011848,0.9,20,20,0.65,
5q,q_01,suql_v1,8,15,20,15,5,0,0.75,1.0,0.8571428571428571,28.282624763996864,99,50,49,9.963234129019838,18.30199487099162,0.9,20,20,0.65,
5q,q_01,suql_v1,9,15,20,15,5,0,0.75,1.0,0.8571428571428571,27.957834182001534,99,50,49,9.791813882977294,18.147211039977265,0.9,20,20,0.65,
5q,q_01,suql_v1,10,15,20,15,5,0,0.75,1.0,0.8571428571428571,28.095297084000777,99,50,49,9.839853712001059,18.23509703696618,0.9,20,20,0.65,
5q,q_01,trummer_baseline,1,15,50,15,35,0,0.3,1.0,0.4615384615384615,63.12197114000446,19,0,19,0.0,61.46797566999885,0.9,20,0,0.0,
5q,q_01,trummer_baseline,2,15,50,15,35,0,0.3,1.0,0.4615384615384615,60.335526474998915,19,0,19,0.0,60.26856665498781,0.9,20,0,0.0,
