suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,27.00914086499688,49,0,49,0.0,26.987376805001986,0.9,20,0,0.0,
5q,q_01,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.508946059002483,49,0,49,0.0,21.48440469401976,0.9,20,0,0.0,
5q,q_01,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.5401483789974,49,0,49,0.0,21.517550044001837,0.9,20,0,0.0,
5q,q_01,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.67787338999915,49,0,49,0.0,21.655691271007527,0.9,20,0,0.0,
5q,q_01,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.667412865994265,49,0,49,0.0,21.64417739804776,0.9,20,0,0.0,
5q,q_01,suql_baseline,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.835369063002872,49,0,49,0.0,21.81379024900525,0.9,20,0,0.0,
5q,q_01,suql_baseline,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.782658459997037,49,0,49,0.0,21.759580738973455,0.9,20,0,0.0,
5q,q_01,suql_baseline,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.769228051998653,49,0,49,0.0,21.74736237400066,0.9,20,0,0.0,
5q,q_01,suql_baseline,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.83963362400391,49,0,49,0.0,21.81741145200067,0.9,20,0,0.0,
5q,q_01,suql_baseline,10,15,17,15,2,0,0.8823529411764706,1.0,0.9375,21.787487102999876,49,0,49,0.0,21.76610749597603,0.9,20,0,0.0,
5q,q_01,suql_v1,1,15,19,15,4,0,0.7894736842105263,1.0,0.8823529411764706,51.06371784800285,70,50,20,42.04736488802155,8.998430274994462,0.9,20,20,0.95,2.0
