suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
3q,q_01,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,42.16113647099701,49,0,49,0.0,42.14012694300618,0.9,20,0,0.0,
3q,q_01,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.20991232099186,49,0,49,0.0,19.188930799937225,0.9,20,0,0.0,
3q,q_01,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.05063420299848,49,0,49,0.0,19.0299655609997,0.9,20,0,0.0,
3q,q_01,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.06011029999354,49,0,49,0.0,19.04052819410572,0.9,20,0,0.0,
3q,q_01,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.141128797011334,49,0,49,0.0,19.120111126001575,0.9,20,0,0.0,
3q,q_01,suql_v1,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,67.04445224799565,99,50,49,48.403914973998326,18.618968575028703,0.9,20,20,0.85,
3q,q_01,suql_v1,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,58.456619226999464,99,50,49,39.73818296304671,18.695240566012217,0.9,20,20,0.85,
3q,q_01,suql_v1,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,58.24688997400517,99,50,49,39.465051812978345,18.760198745978414,0.9,20,20,0.85,
3q,q_01,suql_v1,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,58.19361865999235,99,50,49,39.65475998904731,18.517025351990014,0.9,20,20,0.85,
3q,q_01,suql_v1,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.87233712300076,99,50,49,39.372963513058494,18.47757162596099,0.9,20,20,0.85,
3q,q_01,trummer_baseline,1,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,16.261326467996696,14,0,14,0.0,16.21502172599139,0.9,20,0,0.0,
3q,q_01,trummer_baseline,2,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,15.045232290009153,14,0,14,0.0,14.999528134037973,0.9,20,0,0.0,
3q,q_01,trummer_baseline,3,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,15.071230692992685,14,0,14,0.0,15.02712672999769,0.9,20,0,0.0,
3q,q_01,trummer_baseline,4,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,15.070836875005625,14,0,14,0.0,15.026154437990044,0.9,20,0,0.0,
3q,q_01,trummer_baseline,5,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,15.02690652399906,14,0,14,0.0,14.981088748041657,0.9,20,0,0.0,
3q,q_01,trummer_v1,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,11.907099459000165,12,8,4,6.128456697973888,5.766976226019324,0.9,20,20,0.75,
3q,q_01,trummer_v1,2,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,11.848946084006457,12,8,4,6.085882297003991,5.750966572973994,0.9,20,20,0.75,
3q,q_01,trummer_v1,3,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,11.855863208009396,12,8,4,6.087256556987995,5.755868959007785,0.9,20,20,0.75,
3q,q_01,trummer_v1,4,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,11.8573074839951,12,8,4,6.075040949013783,5.770548220010824,0.9,20,20,0.75,
3q,q_01,trummer_v1,5,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,11.896152429006179,12,8,4,6.1083206180046545,5.7746535599872,0.9,20,20,0.75,
3q,q_02,suql_baseline,1,15,17,13,4,2,0.7647058823529411,0.8666666666666667,0.8125,18.146414927992737,47,0,47,0.0,18.12638589492417,0.9,20,0,0.0,
3q,q_02,suql_baseline,2,15,17,13,4,2,0.7647058823529411,0.8666666666666667,0.8125,17.847355309000704,47,0,47,0.0,17.827534102019854,0.9,20,0,0.0,
3q,q_02,suql_baseline,3,15,17,13,4,2,0.7647058823529411,0.8666666666666667,0.8125,17.959991872005048,47,0,47,0.0,17.9407985949656,0.9,20,0,0.0,
3q,q_02,suql_baseline,4,15,17,13,4,2,0.7647058823529411,0.8666666666666667,0.8125,17.96198469599767,47,0,47,0.0,17.942205241008196,0.9,20,0,0.0,
3q,q_02,suql_baseline,5,15,17,13,4,2,0.7647058823529411,0.8666666666666667,0.8125,18.02259134699125,47,0,47,0.0,18.003732582059456,0.9,20,0,0.0,
3q,q_02,suql_v1,1,15,11,6,5,9,0.5454545454545454,0.4,0.4615384615384615,46.310561517995666,67,50,17,39.941797035062336,6.352954567031702,0.9,20,20,0.9,2.0
3q,q_02,suql_v1,2,15,11,6,5,9,0.5454545454545454,0.4,0.4615384615384615,46.04954152800201,67,50,17,39.642254073914955,6.390974056019331,0.9,20,20,0.9,2.0
3q,q_02,suql_v1,3,15,11,6,5,9,0.5454545454545454,0.4,0.4615384615384615,45.99219337500108,67,50,17,39.65158571797656,6.323737986997003,0.9,20,20,0.9,2.0
3q,q_02,suql_v1,4,15,11,6,5,9,0.5454545454545454,0.4,0.4615384615384615,46.030625840008724,67,50,17,39.67930163005076,6.335392670996953,0.9,20,20,0.9,2.0
3q,q_02,suql_v1,5,15,11,6,5,9,0.5454545454545454,0.4,0.4615384615384615,46.267794695013436,67,50,17,39.89082862000214,6.360681207981543,0.9,20,20,0.9,2.0
3q,q_02,trummer_baseline,1,15,54,15,39,0,0.2777777777777778,1.0,0.4347826086956522,22.025912656012224,18,0,18,0.0,21.9735120349942,0.9,20,0,0.0,
3q,q_02,trummer_baseline,2,15,54,15,39,0,0.2777777777777778,1.0,0.4347826086956522,20.671215879992815,18,0,18,0.0,20.61864860696369,0.9,20,0,0.0,
3q,q_02,trummer_baseline,3,15,54,15,39,0,0.2777777777777778,1.0,0.4347826086956522,20.743078482992132,18,0,18,0.0,20.6897338959825,0.9,20,0,0.0,
3q,q_02,trummer_baseline,4,15,54,15,39,0,0.2777777777777778,1.0,0.4347826086956522,20.774892236993765,18,0,18,0.0,20.723876828007633,0.9,20,0,0.0,
3q,q_02,trummer_baseline,5,15,54,15,39,0,0.2777777777777778,1.0,0.4347826086956522,20.769255621999037,18,0,18,0.0,20.716986442974303,0.9,20,0,0.0,
3q,q_02,trummer_v1,1,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.602564400993288,14,9,5,6.607319326983998,5.979944002014236,0.9,20,20,0.8888888888888888,
3q,q_02,trummer_v1,2,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.529981358995428,14,9,5,6.488127821037779,7.028156150030554,0.9,20,20,0.8888888888888888,
3q,q_02,trummer_v1,3,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.567106903996319,14,9,5,6.489634619021672,7.063901626985171,0.9,20,20,0.8888888888888888,
3q,q_02,trummer_v1,4,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.554579937001108,14,9,5,6.530277386991656,7.011198717984371,0.9,20,20,0.8888888888888888,
3q,q_02,trummer_v1,5,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.538672732000123,14,9,5,6.5228594270010944,7.001047891972121,0.9,20,20,0.8888888888888888,
3q,q_03,suql_baseline,1,15,15,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,23.08043475600425,50,0,50,0.0,23.059563192990026,0.9,20,0,0.0,
3q,q_03,suql_baseline,2,15,15,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,23.057967396001914,50,0,50,0.0,23.036931445036316,0.9,20,0,0.0,
3q,q_03,suql_baseline,3,15,15,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,23.07860629899369,50,0,50,0.0,23.05750285103568,0.9,20,0,0.0,
3q,q_03,suql_baseline,4,15,15,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,23.077857435011538,50,0,50,0.0,23.056712165969657,0.9,20,0,0.0,
3q,q_03,suql_baseline,5,15,15,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,23.082424148000428,50,0,50,0.0,23.06024074103334,0.9,20,0,0.0,
3q,q_03,suql_v1,1,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,45.97038382900064,70,50,20,36.62884378206218,9.324592396005755,0.9,20,20,0.9,2.0
3q,q_03,suql_v1,2,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,45.75503472899436,70,50,20,36.471424530944205,9.266591234016232,0.9,20,20,0.9,2.0
3q,q_03,suql_v1,3,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,45.83628239600512,70,50,20,36.4853755759832,9.33316101404489,0.9,20,20,0.9,2.0
3q,q_03,suql_v1,4,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,45.62626715800434,70,50,20,36.320672868037946,9.286756442961632,0.9,20,20,0.9,2.0
3q,q_03,suql_v1,5,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,45.87690567900427,70,50,20,36.566824060995714,9.29164655902423,0.9,20,20,0.9,2.0
3q,q_03,trummer_baseline,1,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,67.83946332499909,58,0,58,0.0,67.74169124093896,0.9,20,0,0.0,
3q,q_03,trummer_baseline,2,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,66.83564994600601,58,0,58,0.0,66.73975628502376,0.9,20,0,0.0,
3q,q_03,trummer_baseline,3,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,66.75556643099117,58,0,58,0.0,66.65953771899513,0.9,20,0,0.0,
3q,q_03,trummer_baseline,4,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,66.84824525899603,58,0,58,0.0,66.75417576900509,0.9,20,0,0.0,
3q,q_03,trummer_baseline,5,15,38,14,24,1,0.3684210526315789,0.9333333333333333,0.5283018867924527,66.97580178499629,58,0,58,0.0,66.87979995599017,0.9,20,0,0.0,
3q,q_03,trummer_v1,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,12.04276654800924,11,9,2,8.281823695011553,3.753190697010723,0.9,20,20,0.9090909090909091,2.0
3q,q_03,trummer_v1,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,10.027593270002399,11,9,2,6.236889615014661,3.781884802010609,0.9,20,20,0.9090909090909091,2.0
3q,q_03,trummer_v1,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,10.038976875992375,11,9,2,6.238148817996262,3.792606230985257,0.9,20,20,0.9090909090909091,2.0
3q,q_03,trummer_v1,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,10.070461458992213,11,9,2,6.277968211987172,3.784715938993031,0.9,20,20,0.9090909090909091,2.0
3q,q_03,trummer_v1,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,9.996520295011578,11,9,2,6.20873813702201,3.7794749129971024,0.9,20,20,0.9090909090909091,2.0
