suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
3q,q_01,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.12886635400355,49,0,49,0.0,25.10896177397808,0.9,20,0,0.0,
3q,q_01,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.14221741700021,49,0,49,0.0,19.120941916000447,0.9,20,0,0.0,
3q,q_01,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.156619101006072,49,0,49,0.0,19.13587086899497,0.9,20,0,0.0,
3q,q_01,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.143771646005916,49,0,49,0.0,19.121808479947504,0.9,20,0,0.0,
3q,q_01,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.12579916699906,49,0,49,0.0,19.103350805002265,0.9,20,0,0.0,
3q,q_01,suql_v1,1,15,17,12,5,3,0.7058823529411765,0.8,0.7500000000000001,49.12625786699937,70,50,20,41.49407269699441,7.614032885961933,0.9,20,20,0.95,2.0
3q,q_01,suql_v1,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,58.19678543099144,99,50,49,39.52616673403827,18.648068952999893,0.9,20,20,0.8,
3q,q_01,suql_v1,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,58.146684838007786,99,50,49,39.55222081804823,18.571221416059416,0.9,20,20,0.85,
3q,q_01,suql_v1,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.839038630001596,99,50,49,39.32564669904241,18.490649657018366,0.9,20,20,0.8,
3q,q_01,suql_v1,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.52579512700322,99,50,49,39.162286405000486,18.33883267400961,0.9,20,20,0.75,
3q,q_01,trummer_baseline,1,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,16.196040113994968,14,0,14,0.0,16.146763078009826,0.9,20,0,0.0,
3q,q_01,trummer_baseline,2,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,14.996416697002132,14,0,14,0.0,14.950332870022976,0.9,20,0,0.0,
