id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B00008JVTT,True,True,expensive_batch,,
B00411FXXS,False,True,expensive_batch,,
B005GV6Q4C,False,True,expensive_batch,,
B0076LJEIA,False,False,expensive_batch,,
B00B065HYW,False,False,expensive_batch,,
B00B09H9CM,False,True,expensive_batch,,
B00BTGJH6M,True,False,expensive_batch,,
B00CBP4IW8,True,True,expensive_batch,,
B00D3Q77JU,False,True,expensive_batch,,
B00E1DA2KK,True,True,expensive_batch,,
B00FOCPM1Q,False,True,expensive_batch,,
B00GRVH1NA,False,True,expensive_batch,,
B00H7G6MB6,False,False,expensive_batch,,
B00H8XSMNY,False,True,expensive_batch,,
B00IOJBKIA,True,True,expensive_batch,,
B00IZ7ZFYG,True,True,expensive_batch,,
B00JA8CLSM,False,False,expensive_batch,,
B00JGMM5ME,False,True,expensive_batch,,
B00JH7AUFC,True,False,expensive_batch,,
B00JZ9M53M,True,False,expensive_batch,,
B00JZBP00A,False,True,expensive_batch,,
B00KIULQKK,True,False,expensive_batch,,
B00KO2STLG,False,False,expensive_batch,,
B00MG2NAB6,False,False,expensive_batch,,
B00MNZGLP8,True,False,expensive_batch,,
B00MQS81AA,True,False,expensive_batch,,
B00NAG69YW,False,True,expensive_batch,,
B00NHE2DLK,True,True,expensive_batch,,
B00OGR17YQ,False,True,expensive_batch,,
B00P88ES20,False,True,expensive_batch,,
B00POACN6U,False,True,expensive_batch,,
B00R6ZOQHA,False,True,expensive_batch,,
B00RDBBT22,False,True,expensive_batch,,
B00RIWB12O,True,False,expensive_batch,,
B00RZ5IDMU,True,False,expensive_batch,,
B00SP1K12S,False,False,expensive_batch,,
B00SXU0J7I,True,False,expensive_batch,,
B00V7IVBIY,False,True,expensive_batch,,
B00VN22FQQ,True,False,expensive_batch,,
B00W1F4HCY,True,False,expensive_batch,,
B00W8THG1W,True,False,expensive_batch,,
B00WGU7ASW,False,False,expensive_batch,,
B00X5CUNU2,False,True,expensive_batch,,
B00XYDXXT0,False,False,expensive_batch,,
B00Y9R276U,False,False,expensive_batch,,
B00Z82J3SA,False,True,expensive_batch,,
B010S6CL9I,True,False,expensive_batch,,
B011FBV7AE,False,True,expensive_batch,,
B011H1O0KG,False,False,expensive_batch,,
B011QXRAJS,True,True,expensive_batch,,
B0124CVSIE,False,True,expensive_batch,,
B01258WIF4,False,False,expensive_batch,,
B013TQKSSA,False,False,expensive_batch,,
B0144O7Q72,True,False,expensive_batch,,
B014Z9J430,False,False,expensive_batch,,
B01532ZLZS,True,False,expensive_batch,,
B0154JUKQ0,False,False,expensive_batch,,
B015J4T7SW,True,False,expensive_batch,,
B01608TBN2,False,False,expensive_batch,,
B0163CFZSK,True,True,expensive_batch,,
B0165GAA5M,True,True,expensive_batch,,
B016Q8B6R0,False,False,expensive_batch,,
B017IAXDQC,False,False,expensive_batch,,
B017XS40BG,False,False,expensive_batch,,
B0181SEKKI,True,True,expensive_batch,,
B019G5XN8A,False,True,expensive_batch,,
B01A0SRMJI,True,True,expensive_batch,,
B01AG11YGQ,False,False,expensive_batch,,
B01AHUVBSC,True,False,expensive_batch,,
B01AUNUCDG,True,False,expensive_batch,,
B01C1MXRWM,True,False,expensive_batch,,
B01CQRZ9J6,True,True,expensive_batch,,
B01CU25FFU,True,False,expensive_batch,,
B01CX4SC4Q,False,False,expensive_batch,,
B01CXUXE84,True,False,expensive_batch,,
B01D00HI10,True,False,expensive_batch,,
B01DMVK3EG,False,True,expensive_batch,,
B01DOKD9Y6,True,True,expensive_batch,,
B01DSTFLKI,True,False,expensive_batch,,
B01DTLCY5K,True,False,expensive_batch,,
B01DY6OPCK,True,True,expensive_batch,,
B01DYAU1SS,True,True,expensive_batch,,
B01E16S7KI,True,False,expensive_batch,,
B01EC81U8G,True,False,expensive_batch,,
B01EEZ9CX2,False,False,expensive_batch,,
B01EHI4J02,True,False,expensive_batch,,
B01EOBHCH4,True,False,expensive_batch,,
B01ESBNA9O,False,True,expensive_batch,,
B01F1Q3MWK,True,True,expensive_batch,,
B01FDKIVRA,True,False,expensive_batch,,
B01FHSQ6D4,True,False,expensive_batch,,
B01FQXK4V0,False,True,expensive_batch,,
B01G5PO73Y,False,False,expensive_batch,,
B01G6YLCEQ,True,False,expensive_batch,,
B01GCAICHO,False,False,expensive_batch,,
B01GKKKCKG,True,False,expensive_batch,,
B01GW6X1O2,True,True,expensive_batch,,
B01H55UEXA,False,False,expensive_batch,,
B01HEZ3QUO,False,True,expensive_batch,,
B01HGTJ562,True,False,expensive_batch,,
