tconst,review
tt0024675,"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with American accents was, for me, impossible to get past -- hard to believe this is England when no one talks with a British accent. There is zero chemistry between Crawford and anyone, and to echo a previous comment, the idea that Cooper and Crawford suddenly declare their love for one another without any reason is ludicrous. There is no reason to care about any of the characters, which is why we threw in the towel halfway through. I found it hard to believe that Hawks directed this, as none of the actors spoke with the trademark Hawksian rat-a-tat delivery. So save your time, and skip this one."
tt0027630,"Despite being a huge fan of Fred Astaire and Ginger Rogers' movies, it wasn't until about 6 years ago that I first saw 'Follow the Fleet'. I knew all the songs from an old Astaire/Rogers record (yes, vinyl) but knew nothing of the plot.<br /><br />Unfortunately, while the songs are catchy and Ginger Rogers' character is sweet and funny, you just can't like 'Bake Baker'. While trying to make up to his longtime partner, he continually sabotages her career. His character doesn't have the usual humour and elan of the other films' Astaire characters.<br /><br />Worth watching for the songs and a great solo tap routine by Ginger Rogers."
tt0033105,"Hollywood always had trouble coming to terms with a ""religious picture."" Strange Cargo proves to be no exception. Although utilizing the talents of a superb cast, and produced on a top budget, with suitably moody photography by Robert Planck, the movie fails dismally on the credibility score. Perhaps the reason is that the film seems so realistic that the sudden intrusion of fantasy elements upsets the viewer's involvement in the action and with the fate of the characters. I found it difficult to sit still through all the contrived metaphors, parallels and biblical references, and impossible to accept bathed-in-light Ian Hunter's smug know-it-all as a Christ figure. And the censors in Boston, Detroit and Providence at least agreed with me. The movie was banned. Few Boston/Detroit/Providence moviegoers, if any, complained or journeyed to other cities because it was obvious from the trailer that Gable and Crawford had somehow become involved in a ""message picture."" It flopped everywhere.<br /><br />Oddly enough, the movie has enjoyed something of a revival on TV. A home atmosphere appears to make the movie's allegory more receptive to viewers. However, despite its growing reputation as a strange or unusual film, the plot of this Strange Cargo flows along predictable, heavily moralistic lines that will have no-one guessing how the principal characters will eventually come to terms with destiny."
tt0035829,"<br /><br />The main question I pose concerning this film is, how do you film a cole porter musical and only use 3 of his 15 songs! merman and lahr played the lead roles on broadway, here they are replaced by the weaker red skelton and lucille ball. plot changes abound and the fun is lost.<br /><br />SKIP IT."
tt0050599,"While I recently gave OPERATION PETTICOAT a positive review, I really didn't like this film even though it had so many similarities. Both were made just a few years apart, both starred Cary Grant and both were WWII comedies. However, the overall tone and style of the films were quite different. KISS HER FOR ME, overall, just seemed like a cheaper film--with poor writing, little energy and some VERY broad performances--even when compared to OPERATION PETTICOAT. I think that at least much of the blame for this lies in casting Jayne Mansfield. The combination of her ample talents and limited acting ability really made this A-budget film look like it came from a 3rd rate studio. Plus, there wasn't much chemistry or energy in pairing her with Cary Grant--an actor generally loved for his grace and class. It's sort of like pairing Sir Lawrence Olivier with Marjorie Main."
tt0061834,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile. It doesn't matter what one's political views are because this film can hardly be taken seriously on any level. As for the claim that frontal male nudity is an automatic NC-17, that isn't true. I've seen R-rated films with male nudity. Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia? Nowhere, because they don't exist. The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight. And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny. Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man. In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica. This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies."
tt0066449,"Annoying, static comedy with a painfully miscast Peter Sellers as a smarmy, self-centered Casanova who always has his way with the ladies. A major blemish on Sellers' filmography, and, even worse, a film that seems to have been made solely to satisfy the ego of its star. (*)"
tt0067328,"I gave this movie a very fair chance, and it betrayed me. This is very little more than a black and white excuse to bore the hell out of the audience even as the egotist Bogdanavich (who did way better with TARGETS) gets ""great performances"" out of a ton of hams in their debuts. Lots of teenage sex clichés come out of this movie, such as Doing the Teacher's Wife, Impotence, Doing the Ugly Prostitute(which is very awkwardly shot and grinds things to a complete halt, not that things were really going anywhere anyway) and skinny dipping.<br /><br />I suppose this movie is supposed to be funny because of all the sex nonsense, to me, it was just annoying. I was seriously much more entertained by cleaning my finger nails than watching this mess."
tt0071198,"The movie is just as fun as staring at the sun.Sheriff Pataki is a total retard that loves nothing better to do than sit on his fat rear making a smoke ring from his puffy cigars and drinking booze while the doctor acts like a zombie version of Nicholas Cage sucking up all that so called ""Blood"" which in reality seemed like Fruit Punch.<br /><br />Most of all the plotting seemed very horrid to even call this piece of crap a movie.The rest of the characters in this movie are total wastes of time, the ending was awful, the outlines were cheesy, and the scenes were terrible. What else more should I say to you viewers out there? My advice would be to get your Rabies shot if you've already watched the movie. This movie may give you the foam in the mouth if you didn't get your up-to-date shots."
tt0075774,"One of the most peculiar oft-used romance movie plots is this one: A seriously messed-up man falls in love with a terminally ill woman, who turns his life around before dying. Occasionally this story is done well and realistically (as in ""The Theory of Flight"", an excellent weepie), but more frequently it's done like it is here, where as usual the heroine dies of ""Old Movie Disease"". You know, the terminal illness that has no symptoms but one fainting spell and a need to lie down as you're telling your lover goodbye forever; and your looks aren't affected one bit (and since this is the 70's, neither is your sex life). This is one of the worst versions made of that particular story, where a very silly script puts two incompatible and unbelievable characters together, and they're played by actors who are completely at sea.<br /><br />This has got to be the worst performance of Al Pacino's career, and I say that after having seen ""The Devil's Advocate"" only two days ago! He plays a control-freak, emotionally constipated race-car driver, and plays an unlikeable character lifelessly. He seems to constantly be asking himself why he's staying around the grating Marthe Keller (so does the audience), and spends most of the movie just... standing there, usually with his mouth hanging open. The only time he shows any sign of life is towards the end, where his character proves that he's changed from uptight to liberated by doing a hilariously bad Mae West imitation. Hey, it *was* the seventies!<br /><br />Marthe Keller is equally terrible as the dying love interest; her character was conceived as bold and free and touching and uninhibited and full of life even though dying, and was probably meant to be played with an actress with the sensitivity of, say, Vanessa Redgrave or Julie Christie. Instead, they got the expressionless face and heavy German accent of Ms. Keller, who comes across as more of a scary Teutonic stereotype (""You VILL eat ze omelet!"") than anything like lovable. She's supposed to be reforming Pacino and filling him with courage and spirit and all that, but it doesn't work that way, it's more like she's harping on his faults in the most obnoxious possible fashion. This makes for one of the least convincing romances in movie history, where you can't believe she'd be with someone she finds so worthless, and you can't believe he's with someone who gets on his nerves that much.<br /><br />Some bad-movie fans call this a cult classic, mostly because of Pacino's silly ""liberating"" Mae West imitation. The scene is a scream, especially in context, but not worth sitting through the rest of the film for. No, only see the film if you're a serious bad-movie aficionado who is especially interested in studying Extreme Lack of Chemistry between leading actors, or Very Bad Casting (not only are the leads terrible, but Pacino's other girlfriend is played by an actress who looks and sounds just likes Keller with shorter hair, I got them totally confused). This isn't one of those laugh-a-minute bad movies like ""The Conqueror"", it's just a really, really bad movie.<br /><br />"
