movie_id,title,director,year,runtime,genres
tt0038514,The Face of Marble,William Beaudine,1946,72,"Horror,Sci-Fi"
tt0045064,Radar Men from the Moon,Fred C. Brannon,1952,167,"Action,Family,Sci-Fi"
tt0049223,Forbidden Planet,Fred M. Wilcox,1956,98,"Adventure,Sci-Fi"
tt0062159,The Projected Man,"Ian Curteis, John Croydon",1966,77,"Horror,Sci-Fi"
tt0065738,Frankenstein Must Be Destroyed,Terence Fisher,1969,101,"Drama,Horror,Sci-Fi"
tt0075781,The Brain Machine,Joy N. Houck Jr.,1972,85,"Sci-Fi,Thriller"
tt0075990,End of the World,John Hayes,1977,86,"Horror,Mystery,Sci-Fi"
tt0082642,The Last Chase,Martyn Burke,1981,101,"Action,Adventure,Sci-Fi"
tt0083050,G.I. Samurai,Kôsei Saitô,1979,85,"Action,Adventure,Sci-Fi"
tt0086967,Biohazard,Fred Olen Ray,1985,84,"Horror,Sci-Fi"
tt0087799,Night of the Comet,Thom Eberhardt,1984,95,"Comedy,Horror,Sci-Fi"
tt0089280,Hobgoblins,Rick Sloane,1988,88,"Comedy,Horror,Sci-Fi"
tt0090849,Class of Nuke 'Em High,"Richard W. Haines, Lloyd Kaufman",1986,85,"Comedy,Horror,Sci-Fi"
tt0093741,The Pink Chiquitas,Tony Currie,1986,83,"Comedy,Horror,Sci-Fi"
tt0095043,Doctor Hackenstein,Richard Clark,1988,88,"Comedy,Horror,Sci-Fi"
tt0097630,Journey to the Center of the Earth,"Rusty Lemorande, Albert Pyun",1988,100,"Adventure,Sci-Fi"
tt0097874,Metamorphosis,George Eastman,1990,96,"Horror,Sci-Fi"
tt0098375,Spontaneous Combustion,Tobe Hooper,1989,97,"Horror,Sci-Fi,Thriller"
tt0099856,The Invisible Maniac,Adam Rifkin,1990,86,"Comedy,Horror,Sci-Fi"
tt0102800,Robot Jox,Stuart Gordon,1989,85,"Action,Sci-Fi,Thriller"
tt0106983,Future Shock,"Eric Parkinson, Matt Reeves, Oley Sassone",1994,98,"Horror,Sci-Fi"
tt0112762,Cyber-Tracker 2,Richard Pepin,1995,97,"Action,Sci-Fi,Thriller"
tt0120764,My Favorite Martian,Donald Petrie,1999,94,"Comedy,Family,Sci-Fi"
tt0176269,Universal Soldier: The Return,Mic Rodgers,1999,83,"Action,Sci-Fi"
tt0222817,Entrails of a Virgin,Kazuo 'Gaira' Komizu,1986,72,"Horror,Sci-Fi"
tt0234215,The Matrix Reloaded,"Lana Wachowski, Lilly Wachowski",2003,138,"Action,Sci-Fi"
tt0255798,The Animal,Luke Greenfield,2001,84,"Comedy,Sci-Fi"
tt0295725,Time Changer,Rich Christiano,2002,95,"Drama,Fantasy,Sci-Fi"
