movie_id,title,director,year,runtime,genres,review
tt0024605,The Sphinx,Phil Rosen,1933,64,"Adventure,Crime,Mystery","Another of many nearly forgotten movies cranked out by Poverty Row in the 1930's, resurrected by the magic of DVD.<br /><br />Starring stock Universal player Lionel Atwill (often a supporting actor in numerous Frankenstein movies) as a pair of twins involved in a murder racket. One kills the victims (stockbrokers involved in a scam) and asks witnesses for the exact time, while the other is deaf and is proved ""innocent"" because he could not have spoken to witnesses.<br /><br />Of course, where it falls apart is if it was a congenital deafness, wouldn't they both be deaf? Oh, well.<br /><br />Atwill does a pretty good job here, faking being deaf and mute. Unfortunately, no one else here can really act worth a darn."
tt0026529,The Informer,John Ford,1935,91,"Crime,Drama","Maybe it's because I looked up the history of the Irish troubles in the 1920s and then the sad Civil War that engulfed the Free State after the signing of the treaty before watching this movie. Anyway, the sudden turn at the end brought tears to my eyes.<br /><br />Victor McLaglen isn't as famous today as he was back then, and he should be better remembered. In this film, I think he's playing himself as he would have been without his innate talent and brains. For example, the scenes where his buddy in the crowd is challenging men to fight with him is probably quite reminiscent of what McLaglen actually did in earlier years, when he was a world-class bare-knuckles boxer. John Ford is partly responsible for that; the IMDb trivia section shows how he tricked McLaglen into getting a really bad hangover for the trial scene. This director also could bring out a lot in his actors, even without such tricks. Mostly, though, McLaglen is firmly in control, especially when his character is almost totally blotto (which is difficult for an actor to do believably), and he also plays Gypo Nolan with a depth and emotional power that is surprising for someone who has only seen McLaglen later in his career, in ""The Quiet Man."" I especially like the contrast between this role as an IRA man and the much more obviously controlled performance he gave as the IRA man Denis Hogan in ""Hangman's House."" <br /><br />In ""The Quiet Man,"" of course, McLaglen is a country squire at odds with the local IRA. Victor McLaglen was big and bully, in the old-fashioned sense of the word, but he was a good actor, too, and capable of wide range and fine nuances of performance that we just wouldn't expect of a such a man today. It's a rather sad comment on our own set of expectations and prejudices.<br /><br />Ford, as usual, packs a lot into a little bit of film. All the characters are excellent (though the Commandant's mostly American accent is distracting) -- NOTE: There be spoilers ahead! -- Knowing that Gypo once drew the short straw and was ordered to kill a man but let him talk his way out of it instead, we really empathize with the man who draws the short straw for executing Gypo, and the humanity he shows, most notably when they go to take Gypo in Mary's room. <br /><br />John Ford really shows his genius here, taking what could have been a gruesome and yet expected outcome to the whole story and instead using it to set up a totally unexpected and yet very satisfying ending that makes us think not just of Gypo and the other characters, but of poor Ireland during that tortured time."
tt0031676,Mr. Moto Takes a Vacation,Norman Foster,1939,65,"Action,Crime,Drama","Between 1937 and 1939, Twentieth Century-Fox made a ton of Mr. Moto films. However, towards the end of the series, it was obvious that the studio had ""jumped the shark"", so to speak. This phrase indicates that a TV show has passed its prime and the executives in charge decided to invigorate the show by fundamentally changing the formula. For example, with ""The Brady Bunch"" they introduced the annoying 'Cousin Oliver' and with ""Family Ties"" they introduced a freak baby who grew up six years in only one season! With the Moto films, they'd jumped the shark by introducing comic relief because they thought that these intelligent films needed to be re-tooled. In the previous film, Warren Hymer played an annoying wrestler. And, in this film the character Archibald Featherstone appears. Featherstone might just be one of the most annoying examples of comic relief ever, as you kept hoping someone (preferably Moto) would kill him just to shut him up!! Although he's supposed to work for the famed Scotland Yard, he shows all the intelligence and acumen of a brain damaged turnip. Again and again, his scenes were boorish and unnecessary and Peter Lorre just looks pained as he stands there and watches this buffoon ""act"". It's so bad that it truly destroys what COULD have been one of the better Moto films due to its clever plot.<br /><br />As for the plot, the crown of the Queen of Sheba is discovered in the opening scene. Moto, now more of an international policeman than the amoral character he originally was, is on hand to protect the precious item from being stolen. In a great twist, several thieves all try to steal the crown independently of each other.<br /><br />Overall, the film is watchable but is also ample evidence that the Moto series should have ended here. With WWII approaching, the films couldn't have survived much longer anyway, as having a sympathetic Japanese leading character simply wouldn't have been accepted in the US or in allied countries."
tt0035160,Obsession,Luchino Visconti,1943,140,"Crime,Drama,Romance","This movie is a ripoff of James Cain's novel, THE POSTMAN ALWAYS RINGS TWICE. Apparently, the director and producer never bothered to pay for rights to this story--perhaps the fact that we were in the middle of fighting the Italians in WWII might account for their forgetting to consider royalties! Despite this, the movie isn't really just an Italian version of the Hollywood movie. In some ways it's a lot better and in other ways, it is definitely not.<br /><br />The three central characters in this movie are really pretty ugly people. In fact, the male and female lovers are a bit icky-looking. The male lead is pretty ordinary except for his profuse body hair (particularly on the back and shoulders) and his lady love is, to put it frankly, unattractive. They are a very, very far cry from Lana Turner and John Garfield in the Hollywood version. And the ill-fated husband is really, really obese and loves to walk around shirtless--and his counterpart in the American film, Cecil Kellaway is definitely better looking (and probably better looking than the other two Italian leads, actually). And this unattractiveness is generally a reason I actually preferred the Italian film--since I just could NOT imagine a finely coiffed ""dish"" like Lana Turner in the middle of nowhere married to Kellaway--I am 100% sure she would have had dozens of better offers! Whereas, the Italian wife frankly might NOT have been able to do much better and this made the marriage actually believable.<br /><br />Part of the Italian film's believability comes from the blunt way it handles sex. The sanitized American film tries to make you believe that although Turner and Garfield kill Kellaway, they never actually get around to sex! This is pretty silly and totally unrealistic. In addition to the casual sexuality of the film, it's also pretty casual in showing the seamy side of life--with lots of sweaty people, a fly strip hanging over the kitchen table and everyone appeared to need a bath.<br /><br />The movie is also pretty fast-paced compared to the over-long American film. And what you get due to brevity isn't all good. The film lacks a lot of the style and polish of the American film--with grainier footage, relatively poor orchestration and sets. It sure ain't a pretty film, but the Neo-Realistic-like style makes the film seem more realistic. But it cannot make up for the short-cuts in the plot. Many of the plot elements in the later American version are either missing entirely or glossed over. And the ending seems a lot less interesting than the American film--and misses the entire human nature dilemma when Turner and Garfield turn on each other like rats (the best part of the American film).<br /><br />So which is the better film? Well, a lot of this probably depends on you. As for me, the Warner Brothers film was simply too polished and too unrealistic (though many like this style and may dislike watching films with subtitles)--but it packed a great ending. And the Italian film was much, much more realistic--until the crappy ending that seemed too rushed. So neither film is exactly great, but I'd give my nod to the Italian one being a bit better. It's too bad they couldn't have combined the best elements of both films into one exceptional film."
tt0051114,The True Story of Jesse James,Nicholas Ray,1957,92,"Biography,Crime,Drama","That word 'True' in this film's title got my alarm bells ringing. They rang louder when a title card referred to America's Civil War as the 'War Between the States' (the circumlocution preferred by die-hard southerners). Jesse James -- thief, slave-holder and murderer -- is described as a quiet, gentle farm boy.<br /><br />How dishonest is this movie? There is NO mention of slavery, far less of the documented fact that Jesse James's poor widdered mother owned slaves before the war, and that Jesse and his brother Frank actively fought to preserve slavery. According to this movie, all those Civil War soldiers were really fighting to decide whether Missouri is a northern state or a southern state ... that's ALL. (Missouri: It's a candy mint! It's a breath mint!) Black people are entirely absent from this movie, except for two glimpses of a pair of beggars, one of whom wears a ""HELP THE POOR"" sign that's very implausibly typeset instead of handwritten. (Some shots of 19th-century newspapers are inaccurate too, with 20th-century type fonts.)<br /><br />This film has a weird flashback structure. There's some very impressive stunt riding (and some fine work by stunt horses), and one excellent montage. I savoured one line of dialogue: 'Some of those boys will never taste beans again.' The movie gets a few facts straight: Agnes Moorehead, as Jesse's mother, conceals her right arm in the scenes following the raid by the agents of Pinkerton (here called 'Remington') in which Jesse James's real-life mother suffered injuries requiring the amputation of her lower arm. Some errors here are pardonable: during his bushwhacking days, the real Jesse James accidentally shot off part of his left middle finger, but Robert Wagner (in the title role here) does not have a stumpfinger. I've seen a photo of Jesse James's real wife; if she had looked half as glamorous as Hope Lange looks in this movie, Jesse James might have stayed home more.<br /><br />There's plenty of revisionism here, and most of the male actors wear 1950s hairstyles. But many of this movie's errors were avoidable. Jesse James's mentor William Quantrill is mentioned several times, but all the actors mispronounce his name. We see Jesse and his wife moving into an elaborate two-storey house (where he will soon die) after paying a rent of $18. Actually, Jesse James's last residence (at 1318 Lafayette Street, St Joseph, Missouri) was a simple one-storey cottage, renting for $14. There was no upper storey ... so, when Jesse James is killed, his wife could not come running from upstairs as Hope Lange does here. (She was actually in the kitchen.)<br /><br />One continuity error: Robert Wagner (with no stunt double) does an impressive job of taking a slug to the jaw and falling over while his hands are tied behind his back ... but when he gets up, the rope binding his wrists has vanished.<br /><br />The screenplay does some weird and unnecessary juggling of dates. Following the Northfield robbery attempt, Jesse says he expects to get home by his birthday. The actual Northfield bank raid by the James Gang (7 September, 1876) was two days AFTER Jesse James's birthday. (Maybe he meant next year's birthday.) Later, we see Jesse and his wife moving into their St Joseph home on a fine summer day, while Jesse tells her what he plans to do when Christmas Eve arrives ... but in real life, Mr and Mrs Jesse James moved into that house on 24 December, 1881 ... so this scene should *BE* on Christmas Eve! These errors were entirely avoidable.<br /><br />Some of the fictionalisations here don't make sense. According to this movie, the Northfield bank raid failed because one (fictional) henchman was late in cutting the telegraph wires. If this had actually happened, it would indeed have hampered the James Gang's getaway ... but it wouldn't have affected the robbery itself, which failed for other reasons.<br /><br />There are good performances here by Jeffrey Hunter (as Frank James), Moorehead, Alan Hale Jnr (as Cole Younger) and by stage actress Marian Seldes in a rare screen role. I was disappointed by Robert Wagner, normally an under-rated actor. Elsewhere, Wagner has proved his impressive range by convincingly portraying heroes, villains and morally ambiguous characters. Here, he can't seem to decide whether to depict Jesse James as a goodie or a baddie ... so he doesn't much bother. John Carradine phones in his performance in a brief role as a fictional jackleg preacher who baptises Jesse and his wife at their wedding. In fact, Jesse James was baptised in childhood by his uncle, a Methodist minister ... but perhaps this second baptism is a topping-up.<br /><br />Jesse James was no Robin Hood. (I doubt that Robin Hood was Robin Hood either, but that's another story.) There is not one single documented instance of Jesse James ever sharing his loot with anyone beyond his own family. After some of his hold-ups, he didn't even split the swag with the rest of his gang. In this movie, Jesse gets gunned down right after he vows to give up his bandit ways forever. In reality, the night before his death, Jesse James and the Ford brothers stole horses that Jesse planned to use the next day in a robbery of the Platte City bank. As preparation for most of his robberies, Jesse James stole horses from local farmers ... the same poor folk who (in the inaccurate legends) were supposedly the beneficiaries of his largesse. I cringed at one scene here, in which the fictional Jesse James is so gol-durn refined that he disapproves of an oil painting which tastefully depicts nudes.<br /><br />'The True (not much!) Story of Jesse James' is wilfully dishonest about a thieving murderer, and likewise dishonest about the Civil War. For the very impressive stunt work, one good montage and a few fine acting turns, I'll rate this obscenely dishonest movie 2 points out of 10."
tt0074802,Lipstick,Lamont Johnson,1976,89,"Crime,Drama,Thriller","Model Chris McCormack (Margaux Hemingway) is brutally raped by a teacher (Chris Sarandon) of her sister Kathy (Mariel Hemingway). He is brought to trial but goes totally free. He then rapes Kathy!<br /><br />Objectionable and sick rape film. This movie was advertised as an important drama dealing with rape. What it is is a badly written and (for the most part) badly acted drama. It purports to be sympathetic to the victim of the rape but shoves the scene in our face. To be totally honest however, Hemingway's acting is so bad in that sequence that it loses any real impact it might have had. The trial scenes were boring and predictable. And the movie just went too far when 15 year old Mariel is raped (thankfully that wasn't shown). I do admit though that it did lead to a great ending when Margaux grabs a gun and shoots Sarandon dead. But seriously--having a young girl raped is just revolting.<br /><br />Acting doesn't help. For instance, Margaux was no actress. She was certainly a beautiful woman (and an actual model I believe) but her acting left a lot to be desired. It lessens the film. Mariel was just OK but this was one of her first films. Sarandon does what he can as the rapist. He wasn't bad but the terrible script worked against him.<br /><br />I do remember hearing that at a screening of this back in 1976 some women stood up and cheered when Sarandon was killed so maybe this works for some people. I found this boring, simplistic and REALLY sick. A 1 all the way."
tt0080731,The Fiendish Plot of Dr. Fu Manchu,"Piers Haggard, Peter Sellers",1980,100,"Comedy,Crime,Fantasy","Even if one didn't realize that Sellers was in poor health at the time of filming and passed away before the film's release, THE FIENDISH PLOT OF DR. FU MANCHU would be painful viewing. It is supposedly a lampoon of Sax Rohmer's famous Oriental villain but it lacks any focus. The potential for satirical commentary on the anti-Oriental overtones of Rohmer's concept are ignored. Indeed, the movie employs racist insults. There are hardly any actual jokes or gags, just mostly actors behaving idiotically and spouting dreary lines. It is especially distressing to see Sid Caesar forced to spout curses and racial slurs for attempted laughs. Most of the other actors embarrass themselves as well.<br /><br />And then there's Peter Sellers. He plays the dual roles of the sinister Fu Manchu, who is trying to concoct a formula to regain his youth and his stalwart British foe Nayland Smith. Sellers isn't one hundred per cent bad; he conveys a quirky warmth as Smith when he discusses his fetishistic attachment to his lawn mower and he's oddly moving as Manchu when he expresses his love for English music hall entertainment. But most of the time, he plays both roles with a weary grimness, thus further sabotaging any comical possibilities. Sellers' routines where he revitalizes his fading strength with electric shocks are particularly excruciating; he seems too convincingly agonized to be funny. <br /><br />A few genuinely witty lines, an apt slapstick bit by Burt Kwouk (Cato in the PINK PANTHER films) as one of Manchu's minions, and Helen Mirren's amusing musical numbers cannot salvage this mess. If anyone wants to understand why Peter Sellers is considered a comedic genius, they won't learn anything from THE FIENDISH PLOT OF DR. FU MANCHU."
tt0083146,Sweet Sixteen,Jim Sotos,1983,90,"Crime,Drama,Horror","I am very surprised to see such a high rating for this film, and of the few reviews that there are to be positive. I saw the movie and was pretty dissapointed. I didn't find it very enjoyable at all. It was slow, and lacks the entertainment value. Even the murder scenes are lackluster, with real close-up shots of generic stabbings that don't look good at all. And the supposed great twist ending is really not much, I did see it coming, and then the ending just seemed cliche. This movie may not get much mention, but by the little that it does get, it is overrated. I would not recommend this movie."
tt0089841,Prizzi's Honor,John Huston,1985,130,"Comedy,Crime,Drama","This movie has not aged well. Maybe it's just the impact and artful characterization, acting, and directing that we've seen with The Sopranos, but I just viewed Prizzi's Honor for the first time, on DVD, alone.<br /><br />The experience of watching it with an audience 24 years ago must have been quite different, but I have to say, I was just appalled at the ending. Not just the violence of it, but the mere idea that somehow this would be a satisfying ending.<br /><br />I enjoy a good shocker, but this seemed so out of character... Also, when was this move supposed to be set? The cars all seemed like they were from the 1960s, and yet the World Trade Center towers {completed in 1973} were clearly visible in many cityscape scenes.<br /><br />Another way in which the film has aged poorly is the mere idea that a passenger could travel coast to coast with a knife on his person.<br /><br />Somehow, mid-1980s audiences found this film charming and funny. Mid-eighties, meet the late oughts: only of you can live."
tt0096046,Scarecrows,William Wesley,1988,83,"Action,Crime,Horror","Falls into the film category of ""Way too ridiculous in the dialogue and execution departments to be taken seriously"". Whereas Shriek If You Know What I Did Last Friday the Thirteenth or My Boyfriend's Back know they are bad, Scarecrows doesn't. Evil Dead set such a high standard for the comedic horror on a budget genre, that Scarecrows is simply out of place. <br /><br />Suspicions of inexperience are immediately at play as there are no hints of noise or vibration in the hull and cockpit of an airborne plane. The repeated display of a picture of 3 men just screams for a story arc, but nothing comes. Although the men are obviously the scarecrows, there is no explanation.<br /><br />Knowing this film is too serious for it's own good may produce some grins. I don't recall if Joe Bob Briggs ever previewed Scarecrows, but I believe that he wouldn't stoop this low. However, with an IMDb rating of over 6, there are many people that disagree."
