suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
10q,q_01,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,24.924461718997918,49,0,49,0.0,24.902390033123083,0.9,20,0,0.0,
10q,q_01,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.153719893016387,49,0,49,0.0,19.13108473882312,0.9,20,0,0.0,
10q,q_01,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.2672183039831,49,0,49,0.0,19.24314434605185,0.9,20,0,0.0,
10q,q_01,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.027991758019198,49,0,49,0.0,19.004865829076152,0.9,20,0,0.0,
10q,q_01,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,19.081313877017237,49,0,49,0.0,19.058772206888534,0.9,20,0,0.0,
10q,q_01,suql_baseline,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,18.870723731000908,49,0,49,0.0,18.847764876205474,0.9,20,0,0.0,
10q,q_01,suql_baseline,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,18.73250373400515,49,0,49,0.0,18.709978433907963,0.9,20,0,0.0,
10q,q_01,suql_baseline,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,18.808983994007576,49,0,49,0.0,18.78653802885674,0.9,20,0,0.0,
10q,q_01,suql_baseline,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,18.60423851001542,49,0,49,0.0,18.581012232229114,0.9,20,0,0.0,
10q,q_01,suql_baseline,10,15,17,15,2,0,0.8823529411764706,1.0,0.9375,18.615378358983435,49,0,49,0.0,18.59111068031052,0.9,20,0,0.0,
10q,q_01,suql_v1,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,60.11093552800594,99,50,49,41.581665276084095,18.50442395504797,0.9,20,20,0.85,
10q,q_01,suql_v1,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.48379707301501,99,50,49,39.04492346587358,18.411576504877303,0.9,20,20,0.85,
10q,q_01,suql_v1,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.83578659500927,99,50,49,39.13915793487104,18.672992586973123,0.9,20,20,0.85,
10q,q_01,suql_v1,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.62243544001831,99,50,49,39.20692518987926,18.391455752251204,0.9,20,20,0.85,
10q,q_01,suql_v1,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.6449614619487,99,50,49,39.076109541987535,18.54444992018398,0.9,20,20,0.85,
10q,q_01,suql_v1,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.791125855001155,99,50,49,39.20063984201988,18.56127736112103,0.9,20,20,0.85,
10q,q_01,suql_v1,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.718718335963786,99,50,49,39.147665181953926,18.54666002112208,0.9,20,20,0.85,
10q,q_01,suql_v1,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.59983730997192,99,50,49,39.11479148775106,18.459585423814133,0.9,20,20,0.85,
10q,q_01,suql_v1,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.35072737297742,99,50,49,38.951241333794314,18.37556147610303,0.9,20,20,0.85,
10q,q_01,suql_v1,10,15,17,15,2,0,0.8823529411764706,1.0,0.9375,57.44968991499627,99,50,49,38.995568079000805,18.424618956982158,0.9,20,20,0.85,
10q,q_01,trummer_baseline,1,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,19.303341044986155,19,0,19,0.0,17.550899322901387,0.9,20,0,0.0,
10q,q_01,trummer_baseline,2,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,16.973877864016686,19,0,19,0.0,16.90040424122708,0.9,20,0,0.0,
10q,q_01,trummer_baseline,3,15,42,15,27,0,0.35714285714285715,1.0,0.5263157894736842,17.05667507799808,19,0,19,0.0,16.990492929238826,0.9,20,0,0.0,
