tconst,review
tt0069976,"Near the beginning, after it's been established that outlaw John Dillinger (Warren Oates), is an egomaniacal rapist, another bandit of the 1930s is cornered in a farm house and surrounded by the FBI. Second-in-command Melvin Purvis (Ben Johnson), surveys the situations, sticks a lighted cigar in his mouth, picks up two loaded .45-caliber automatics, and stalks off into the distant house alone. Bang, bang, bang. Purvis emerges alone from the house, carrying the female hostage, the miscreant dead. All in long shot.<br /><br />If you're enthralled by stories like Red Riding Hood, this should have considerable appeal.<br /><br />Oh, it's as exciting as it is mindless. Pretty Boy Floyd meets his demise dramatically. Multiple violations of the civic code. Plenty of shoot outs with Tommy guns and pistols. Blood all over.<br /><br />As history, it stinks. Few remember Melvin Purvis as an FBI hero, partly, I would guess, because of his name. Melvin PURVIS? We all remember J. Edgar Hoover, who fired Melvin Purvis because he was a rival in the quest for public attention though.<br /><br />The picture was written and directed by John Milius. He's the guy who had it written into his contract that, should any animals be shot and killed in the course of one of his productions, he should be the designated shooter. Milius is the guy, a compleat gun freak, who had Teddy Roosevelt's Rough Riders in the Spanish-American war shouting quotations from Henry V -- ""Saint Crispin's Day"" and all that.<br /><br />Exciting, yes, and complete garbage. ""I knew I'd never take him alive, and I didn't try too hard neither."" That is, kill 'em all and let God sort them out.<br /><br />You'll just love it."
tt0072886,"After having seen the movie the first question arising in my mind was: Is this supposed to be irony or not? After reading a few comments about the character Doc Savage and the comic series, I knew this film was not meant to be ironic. So, the story tells us about an US-American Super-Doc saving a south American republic from evil. Sounds like a typical story. But this one comes in such an unrealistic way that it becomes ridiculous. The mandatory end-fight shows the worst presentation of martial arts I have ever seen. The film might be interesting for low budget movie designers as a bad example."
tt0073018,"What made the French Connection work so well was the relationship between Doyle (Hackman) and Russo (Scheider). In this catastrophe directed by Frankenheimer (who also brought us such gems as Raindeer Games and the Island of Dr. Moreau) the movie focuses on Doyle and his singular obsession of capturing Charnier (Rey). The fictitious idea that the NYPD would allow Doyle to travel to Marseilles to find Charnier with the help of the French local authorities is laugh out loud funny. Correct me if I'm wrong, but didn't Charnier skip town with 65 pounds of pure smack!!! A street value of 32 million but yeah, let's send Doyle to find this guy, it was his pinch after all. Please!!! The story was weak. The acting was terrible (with the lone exception of Hackman, who completely overplayed his part). The direction was all over the place. Even the cuts between scenes were terrible. Do yourself a favor and watch the first installment twice and skip this one."
tt0075648,"Although the production and Jerry Jameson's direction are definite improvements, ""Airport '77"" isn't much better than ""Airport 1975"": slick, commercial rubbish submerging (this time literally) a decent cast. Jack Lemmon is the pilot of a packed airliner which gets hijacked by art thieves and crashes into the sea (all the publicity claimed it was near the Bermuda Triangle, but there's no mention of it in the film itself). When the rescue ships come to raise the airplane out of the water, we see all their cranes dropping (rather blindly) into the ocean and it's hard not to laugh (imagining the cranes plugging the plane, the passengers and the waterlogged script). NBC used to air what appeared to be the ""director's cut"", with at least an hour of extra footage--mostly flashbacks--injected into the proceedings with all the subtlety of a ""Gilligan's Island"" episode. Most exciting moment is the plane crash, and some of the players have a little fun: Lee Grant is an obnoxious drunk, Brenda Vaccaro a no-nonsense stewardess, Joseph Cotten and Olivia de Havilland are flirting oldsters. Still, the personality conflicts and the excruciating military detail eventually tear at one's patience. ** from ****"
tt0080615,"I haven't seen it in over twenty years. OJ was the bus driver, Arte Johnson was the tour guide, Lorenzo was the kidnapper.<br /><br />Yea, Lorenzo looked very much at home as the villain, a natural. I think I watched it back then most for OJ, who I had seen Towering Inferno and Cassandra Crossing, but also to see Arte Johnson.<br /><br />I was a little bored that Johnson was so serious.<br /><br />And yes, it shifted plots. In reading other posts, I remember that was some plot that they were going to kidnap some rich girl, but then that priceless stamp business turned up out of the blue.<br /><br />I was going, a stamp? If it came on as a late movie, I would probably record it to check it out again, but I wouldn't be nostalgic over it. Not yet anyway.<br /><br />There are better movies from the seventies like this to check out."
tt0085900,"Belmondo is a tough cop. He goes after a big-time drug dealer (played by Henry Silva, normally a great villain - see ""Sharky's Machine""; but here he is clearly dubbed, and because of that he lacks his usual charisma). He goes to the scuzziest places of Paris and Marseilles, asks for some names, beats up some people, gets the names, goes to more scuzzy places, asks for more names, beats up more people, etc. The whole movie is punch after punch after punch. It seems that the people who made it had no other ambition than to create the French equivalent of ""Dirty Harry"". Belmondo, who was 50 here, does perform some good stunts at the beginning; apart from those, ""Le Marginal"" is a violent, episodic, trite, shallow and forgettable cop movie. (*1/2)"
tt0101764,Twin brothers separated at birth (Due to the deaths of their parents) reunite twenty five years later to avenge their parents and take back their million dollar tunnel. Double Impact runs at two hours long and basically adds no real approach to the Corsican Brothers plot and Jean-Claude Van Damme while adequate as the evil twin brother is just embarrassing as the good twin brother. Also the action sequences aren't as exciting this time and Jean-Claude relies more on gunfire then on his martial arts. Also the supporting cast is wasted and at two hours the movie is just plain dull.<br /><br />* out of 4(Bad)
tt0102422,"I purchased this film on the cheap in a sale, having read the back of the DVD case and assuming that either way I can't lose, it if was rubbish then no loss, if it was any good then bargain...<br /><br />Then I watched it...<br /><br />I am normally a fan of Christopher Walken, but in this film he commanded very little screen presence, seeming not to do a whole lot, even the death of his friend near the beginning which sparks off the ""action"" in the plot seems to affect him very little, and his eventual revenge is just boring and undramatic.<br /><br />Normally a film which has themes as grand as revolution and revenge are able to capture the audience and snare them into feeling something for the characters, however watching this film felt more like seeing a series of confused, and almost random events that loosely tied together towards it's eventual conclusion...<br /><br />At this point I wept...<br /><br />I thought this film was the most horribly painful piece of viewing I have ever been subjected to, the scene where the pilot sacrifices himself by refusing to jump out the explosive laden truck due to not wanting to kill any civilians is not so much tragically sad as it is unnervingly horrible and painful, although not quite as bad as the emergency surgery on the wounded girl. The acting was poor all round, the script and story was weak, the ""action"" was even weaker, and the ""visuals"" were but bluntly not all that visual. To summarise there are films which are good, films that are bad, films that are so bad they are good, films that are terrible...<br /><br />And then on a whole new level is ""McBain"""
tt0107563,"Superhero movies pretty much always suck, and this is no exception. Its only redeeming quality is the fact the movie COULD have been even worse. I would put 'Batman & Robin' and 'Steel' above this movie, so yes it is that bad...<br /><br />If your looking for a black superhero, check out 'Blankman' its not a ""serious"" superhero movie but at least its entertaining."
tt0109890,"SPOILERS THROUGHOUT: <br /><br />The Gettaway is mostly an action movie. And what action there is to!! Shootouts, chases, dumpsters and much much more. It stars Kim Bassenger and Alec Baldwin as the Mc Coy's.<br /><br />This is a remake and I have not seen the original but really didn't care for this one at all although Bassenger and Baldwin have some nice screen chemistry. But the movie itself didn't do it for me.<br /><br />The Gettaway became really tiresome really quickly. The plot is overshadowed by one fight/chase after another and as the violence keeps piling up, Bassenger and Baldwin retain their great looks no matter what perils they maybe in. In fact, by the end of the movie they almost look BETTER then in the beginning. I don't think Bassenger's eye makeup moves once during the whole picture.<br /><br />This isn't the worst movie I've ever seen, certainly not, but it isn't very good and unless one is an action movie purist I can't see really enjoying this movie because there's just not a lot here. The Gettaway isn't terribly original either, and goes every way from unnecessarily brutal to rather dull. It really could have been better I think.<br /><br />Bassenger and Baldwin give OK performances but they don't have a lot to do except get chased and run for their lives. Sometimes less is more, after seeing the same thing over and over again it gets stale. Didn't enjoy this one to much."
