movie_id,source_row,title,year,runtime,genres,structured_match,semantic_label,ground_truth,annotation_source,evidence_excerpt,annotation_rationale
tt0038514,471,The Face of Marble,1946,72,"Horror,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"A scientist (John Carradine--sadly) finds out how to bring the dead back to life. However they come back with faces of marble. Eventually this all leads to disaster.  Boring, totally predictable 1940s outing. This scared me silly when I was",Excluded by semantic condition.
tt0045064,476,Radar Men from the Moon,1952,167,"Action,Family,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"This serial is interesting to watch as an MST3K feature, but for todays audience that's all it is. I was really surprised to see the year it was made as 1952. Considering that fact alone makes this a solid (lowly?) 2 in my book. The cars us",Excluded by semantic condition.
tt0049223,644,Forbidden Planet,1956,98,"Adventure,Sci-Fi",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"I liked how this started out, featuring some decent special-effects especially for a film 50 years old. There was some pretty impressive scenery. However, the film bogs down fairly early on with some very dumb dialog as the males all try to",Included: structured and semantic conditions match.
tt0062159,378,The Projected Man,1966,77,"Horror,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I remember this film, exhibit in Barcelona (Spain) in 1970, for the time of a week. Although it could seems incredible, and I can't offer any explanation for it, this movie was exhibit in a theater dedicated to... movies of art and big qual",Excluded by semantic condition.
tt0065738,445,Frankenstein Must Be Destroyed,1969,101,"Drama,Horror,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I loved ""The Curse of Frankenstein"" so much that I rushed out to get ""Frankenstein Must Be Destroyed"" to see Cushing at it again...even if it was without Chistopher Lee this time. To my great disappointment, this movie not only does without",Excluded by semantic condition.
tt0075781,444,The Brain Machine,1972,85,"Sci-Fi,Thriller",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I bought this (it was only $3, ok?) under the title ""Grey Matter"". The novelty of seeing Sherriff Roscoe in a non-DukesOfHazzard role intrigued me. As the other reviewers warned, it's a pretty boring tale of a top secret government experime",Excluded by semantic condition.
tt0075990,569,End of the World,1977,86,"Horror,Mystery,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"A good deal of running around. A badly conceived adversary with very little complexity. A scientist who works in communications sending off signals into space and receiving them, gets caught up with aliens. Along with his pretty wife, he in",Excluded by semantic condition.
tt0082642,958,The Last Chase,1981,101,"Action,Adventure,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"After watching this on the MST3K episode, I have to wonder how many movies this film borrows from. It seems to combine elements of Logans Run, Farenheight 451, Final Sacrifice and at least several others. At one point I was really expecting",Excluded by semantic condition.
tt0083050,671,G.I. Samurai,1979,85,"Action,Adventure,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I'm sorry but this is just awful. I have told people about this film and some of the bad acting that is in it and they almost don't believe me. There is nothing wrong with the idea, modern day Japanese troops get pulled back in time to the ",Excluded by semantic condition.
tt0086967,188,Biohazard,1985,84,"Horror,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I was always curious about this film because it is so tough to find, so when I stumbled upon it on Ebay I forked over the $10 and bought it, now I understand why its so rare! This film is SO bad, so terribly written and hopelessly low budge",Excluded by semantic condition.
tt0087799,6677,Night of the Comet,1984,95,"Comedy,Horror,Sci-Fi",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,This movie was bad. This movie was horrible. The acting was bad. The setting was unrealistic. The story was absurd: A comet that appears once in eons is set to appear one night. Most of the world's population decided to watch this comet. Th,Included: structured and semantic conditions match.
tt0089280,840,Hobgoblins,1988,88,"Comedy,Horror,Sci-Fi",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"For starters, ""Hobgoblins"" tries to ape the more successful ""Gremlins"". That's bad enough but they don't even try to make anything that closely resembles a movie here. Instead, it's more like a bargain basement, everything-must-go clearance",Excluded by semantic condition.
