movie_id,title,director,year,runtime,genres,review
tt0038514,The Face of Marble,William Beaudine,1946,72,"Horror,Sci-Fi","A scientist (John Carradine--sadly) finds out how to bring the dead back to life. However they come back with faces of marble. Eventually this all leads to disaster.<br /><br />Boring, totally predictable 1940s outing. This scared me silly when I was a kid but just bores me now. I had to struggle to stay awake! With one exception, the acting is horrible. Such expressionless boring actors! Hopeless.<br /><br />There are some good things about this: Carradine, despite the script, actually gives a very good performance. And there are a few mildly creepy moments involving a ghost of a Great Dane walking through walls. There's also one of the worst-looking knockouts in cinema history. Still, none of this is fun enough to sit through this. Avoid."
tt0045064,Radar Men from the Moon,Fred C. Brannon,1952,167,"Action,Family,Sci-Fi","This serial is interesting to watch as an MST3K feature, but for todays audience that's all it is. I was really surprised to see the year it was made as 1952. Considering that fact alone makes this a solid (lowly?) 2 in my book. The cars used don't even look contemporary, they look like stuff from the 30's. It's basically Cody (the lone world's salvation? Sheesh talk about an insult to everyone else, like the military), anyway it's Cody in his nipple ring flying suit against Graber and Daley two dumb*ss henchman who sport handguns and an occasional ray gun thats pretty lame in its own right, enjoy. If you want to watch a really good serial see Flash Gordan, it's full of rockets that attack each other and a good evil nemesis and also good looking women, this has NONE of that. And Flash was made 15 or so years before this crap so you can give it some slack. Something made in 1952, this bad, deserves a 2. Nuff said. give it a 6 if your watching it as a MST3K episode, those guys have some good fun with it; a tweak of the nipples here, a tweak there and I'm flying! And now as an added bonus, I bring you the Commander Cody Theme song as originally sung by Joel and his two character bots Tom Servo and Crow aboard the satellite of love for episode eight The Enemy Planet:<br /><br />(Singing at the very beginning credits);<br /><br />(TOM SERVO SINGING) YOUR WATCHING COMMANDER CODY.... HE IS THE NEW CHARACTER FROM REPUBLIC,<br /><br />HE GETS IN TROUBLE EVERY WEEK... BUT HE'S SAVED BY EDITING,<br /><br />JUST A TWEAK OF HIS NIPPLES... SENDS HIM ON HIS WAY,<br /><br />A PUMPKIN HEAD AND A ROCKET PACK.... WILL SAVE THE DAY,<br /><br />(JOEL SINGING) HIS LABRATORY IS A BOXING RING... WHEN BAD GUYS COME TO MIX IT UP,<br /><br />SOMEBODY ALWAYS GETS KIDNAPPED... AND CODY HAS TO FIX IT UP,<br /><br />HE DRINKS HIS TEA AT AL'S CAFE... AND FLIES ALONG ON WIRES,<br /><br />HE BEATS THE CROOKS AND FLIES WITH HOOKS... AND PUTS OUT FOREST FIRES,<br /><br />(CROW SINGING)<br /><br />BAD GUYS BEWARE... CODY IS THERE,<br /><br />YOU'LL LIKE HIS HAIR IT'S UNDER HIS HELMUT... AND BECAUSE WE CAN'T THINK OF A GOOD RHYME,<br /><br />THAT'S THE END OF THE COMMANDER CODY THEME SONG... SO SIT RIGHT BACK WITH A WILL OF GRANITE,<br /><br />AND WATCH CHAPTER EIGHT, CAUSE THAT'S THE ENEMY PLANET"
tt0049223,Forbidden Planet,Fred M. Wilcox,1956,98,"Adventure,Sci-Fi","I liked how this started out, featuring some decent special-effects especially for a film 50 years old. There was some pretty impressive scenery. However, the film bogs down fairly early on with some very dumb dialog as the males all try to flirt with Anne Francis ""Altaira Morbius."")<br /><br />Viewing this in the '90s after a long absence, it was fun to see Francis again, an actress who has done mostly television shows since this film was released....and is still acting. It also was interesting to see a young-looking Leslie Nielsen (""Dr. John J. Adams""), who I wouldn't have recognized had it not been for this voice <br /><br />I watched half of this movie before the boredom came almost overwhelming and I had a strong desire to go to sleep. I appreciated them re-doing this VHS tape in stereo. but it was a weak effort. This is one those overrated film where ""elites"" think is so ""heavy"" and ""thought-provoking."" That's nonsense. It only appeared ""intelligent"" because the rest of the '50s sci-fi films were so stupid!!<br /><br />Some if the early scenes would have looked great on wideescreen, which I didn't have at the time of this writing. Perhaps another look - this time on the 2.35:1 widescreen transfer would make me change this review."
tt0062159,The Projected Man,"Ian Curteis, John Croydon",1966,77,"Horror,Sci-Fi","I remember this film, exhibit in Barcelona (Spain) in 1970, for the time of a week. Although it could seems incredible, and I can't offer any explanation for it, this movie was exhibit in a theater dedicated to... movies of art and big quality (that, is, Bergman, Resnais, Malle, Buñuel, and... The Projected Man). Few people saw it (luckly people, no doubt) and no reference about this very boring SF movie can be found in the Peter Nichols Science Fiction Encyclopidie, or about the author of the original novel. Very indicative. I remember of it, after all this years, a no-story, a lot of special effects that seems ridiculous effects in fact, and no more. It seems that in some countries the running time is 90 mm. and in anothers 77 min. Well, it means only a little more of pain."
tt0065738,Frankenstein Must Be Destroyed,Terence Fisher,1969,101,"Drama,Horror,Sci-Fi","I loved ""The Curse of Frankenstein"" so much that I rushed out to get ""Frankenstein Must Be Destroyed"" to see Cushing at it again...even if it was without Chistopher Lee this time. To my great disappointment, this movie not only does without Lee, but it does without Frankenstein's Monster altogether! Was it a case of ""If we can't get Lee, we won't have a monster at all""? Why would they do that? The monster is half the fun of the whole thing!! This film is dedicated solely to the study of Baron Frankenstein and his quest to finish experiments he had begun in brain transplants before ending up in an asylum. I found the script extremely weak, with the need to suspend disbelief forced upon the audience a little too much. I'm willing to suspend a fair amount, but this movie got fairly ridiculous, which took me out of the film rather than immersing me in it.<br /><br />Peter Cushing, though, is absolutely brilliant playing pure evil in this film. For being one of the most beloved actors and notoriously sweet men, he sure could play menacing and malevolent extremely well. The supporting cast is competent, but has little to do, even the young doctor and his fiancée blackmailed into helping Frankenstein. A bumbling police chief is introduced, along with his put-upon sidekick, to generate some comic relief, then they are completely dropped from the movie! Why? We are led to believe that the police chief will be the main nemesis of the Baron, then we are led to believe it will be the young doctor, and then it ends up being the victim of Frankenstein's brain transplant experiment. There was no tension, we weren't invested in the ""creature"", and the ending was left so ambiguous as to leave one unsatisfied because it is so clear they are setting up another sequel.<br /><br />Also, there are virtually no ""horror"" elements. Yes, there is a beheading in the beginning (off-camera), and we are treated to the sounds of Cushing cutting the tops of two men's skulls off (again, off camera), and there is the most unsettling and thoroughly unnecessary rape scene (90% of which is, again, off-camera). I understand that there is a love of ""letting the audience imagine it all, for their imaginations are far worse than what we can show"", but come on, if you're not going to give us a Monster, then at least let us SEE the few ""horrific"" elements you do choose to include. Showing us a skeleton in the lab lit with a green light is just not scary.<br /><br />On top of a weak script, I thought the directing was mostly flat. There were a couple of nice shots, but otherwise no excitement, atmosphere, or suspense was generated. The same director did ""Curse"" back in 1958 and I thought it was brilliantly directed...guess he was as uninspired by this film as I was.<br /><br />The movie gets a 4 out of 10 from me strictly for Peter Cushing's powerful, nuanced performance...beyond that, I found little in this movie worth recommending. Instead, my suggestion is to watch ""The Curse of Frankenstein"" and see a truly great Hammer horror film."
tt0075781,The Brain Machine,Joy N. Houck Jr.,1972,85,"Sci-Fi,Thriller","I bought this (it was only $3, ok?) under the title ""Grey Matter"". The novelty of seeing Sherriff Roscoe in a non-DukesOfHazzard role intrigued me. As the other reviewers warned, it's a pretty boring tale of a top secret government experiment gone awry.<br /><br />And yes, there are plenty of establishing shots, especially of a house with a pool in front of it. Some of the characters and interiors are so nondescript I guess the filmmakers worried we might forget who is who, so they keep tipping us off by first showing the outside of the buildings. It's actually kinda funny. After awhile the pool shot feels like a tv channel's station identification logo, reminding us that we are watching ""Grey Matter"".<br /><br />I also enjoyed two bouts of name-calling. At one point an angry test subject taunts somebody in charge by calling her a ""Scientific b*tch!"". It's just a very inadequate insult. Several scenes later a different subject lets off steam by muttering about that ""scientific b**tard!"". It just sounded very awkward to me.<br /><br />Someday this movie will disappear forever. Another decade from now it will likely be impossible to find any copies of it. Almost like it never happened.<br /><br />"
tt0075990,End of the World,John Hayes,1977,86,"Horror,Mystery,Sci-Fi","A good deal of running around. A badly conceived adversary with very little complexity. A scientist who works in communications sending off signals into space and receiving them, gets caught up with aliens. Along with his pretty wife, he invades their territory and is given secrets about them. He becomes rather traitorous in the process. Granted, he is given little choice anyway. There is a scene where he gives them everything they want. This is a dull movie with lots of long stretches where little happens. The plot isn't technically bad. It's just that we are usually following a car, a trip through a woods, investigating a building. This is what editing is all about. I suppose the story wouldn't technically support much more. Not much here."
tt0082642,The Last Chase,Martyn Burke,1981,101,"Action,Adventure,Sci-Fi","After watching this on the MST3K episode, I have to wonder how many movies this film borrows from. It seems to combine elements of Logans Run, Farenheight 451, Final Sacrifice and at least several others. At one point I was really expecting Cris Makepease to call Lee Majors ROWSDOWER. <br /><br />I wonder if the director has any clue how many holes there are in the plot. like the fact that, even though gas is unavailable, there is plenty of it in abandoned gas stations, and the stations are located close enough together to keep an F1 race car going all the way across the country."
tt0083050,G.I. Samurai,Kôsei Saitô,1979,85,"Action,Adventure,Sci-Fi","I'm sorry but this is just awful. I have told people about this film and some of the bad acting that is in it and they almost don't believe me. There is nothing wrong with the idea, modern day Japanese troops get pulled back in time to the days of Busido warriors and with their modern weapons are a match for almost everything. When the troops first realise something strange is happening does every single person in the back of the transport need to say ""Hey my watch has stopped""? Imagine lines like that being repeated 15+ times before they say anything else and you have the movie's lack of greatness in a nutshell."
tt0086967,Biohazard,Fred Olen Ray,1985,84,"Horror,Sci-Fi","I was always curious about this film because it is so tough to find, so when I stumbled upon it on Ebay I forked over the $10 and bought it, now I understand why its so rare! This film is SO bad, so terribly written and hopelessly low budget that the ending credits, which show all of the cut scenes where they fumbled their lines, are literally the movie's highlight. The film is about a psychic (Pettyjohn, cast for one obvious reason, her topless scene) whom uses her powers with an experimental machine to pull objects from another dimension into this reality. When she pulls in some kind of box like object the military nonchalantly throws it into the open back of a truck with one soldier to guard it, and gee, what do you know? SURPRISE! A kid in a foam-rubber monster costume pops out, instantly kills the soldier with a scratch across his face, then escapes to a nearby city. But rather than deploy half the armed forces of the county to find it and protect the public those in charge just leave it up to Pettyjohn and Ray to find it on their own, but no matter, this movie blows all its credibility LONG before then. This barely escapes being voted a 1 by me only because of unintentional laughs, somebody needs to alert the producers of ""Mystery Science Theater 3000"" if they don't know about it already! 2 out 10, really, REALLY bad!"
