movie_id,title,director,year,runtime,genres
tt0169621,Wild Iris,Daniel Petrie,2001,93,Drama
tt0188453,Birthday Girl,Jez Butterworth,2001,93,"Comedy,Crime,Thriller"
tt0193537,Summer Rain,Jonathan Glendening,2001,92,"Comedy,Romance"
tt0207051,The Journey to Kafiristan,"Donatello Dubini, Fosco Dubini",2001,101,Drama
tt0216196,Angel of Death,Pepe Danquart,2001,91,"Drama,Thriller"
tt0221809,Ayurveda: Art of Being,Pan Nalin,2001,102,Documentary
tt0229003,New Port South,Kyle Cooper,2001,95,Drama
tt0234041,Roberto Succo,Cédric Kahn,2001,124,"Biography,Crime,Drama"
tt0242193,Bully,Larry Clark,2001,108,"Biography,Crime,Drama"
tt0243655,Wet Hot American Summer,David Wain,2001,97,"Comedy,Romance"
tt0245115,The Fluffer,"Richard Glatzer, Wash Westmoreland",2001,95,"Comedy,Drama,Romance"
tt0249624,Gabriel & Me,Udayan Prasad,2001,84,Drama
tt0250310,Corky Romano,Rob Pritts,2001,86,"Comedy,Crime"
tt0250491,Late Night Shopping,Saul Metzstein,2001,91,Comedy
tt0250739,Sister Mary Explains It All,Marshall Brickman,2001,77,"Comedy,Drama"
tt0253040,Diary of a Sex Addict,Joseph Brutsman,2001,93,Drama
tt0255730,The Feast of All Saints,Peter Medak,2001,213,"Drama,Romance"
tt0256692,Chori Chori Chupke Chupke,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",2001,165,"Comedy,Drama,Musical"
tt0257106,Scary Movie 2,Keenen Ivory Wayans,2001,83,"Comedy,Horror"
tt0257231,Torrente 2: Mission in Marbella,Santiago Segura,2001,99,"Action,Comedy,Crime"
tt0267440,Do You Wanna Know a Secret?,Ty Bradford,2001,90,"Horror,Mystery,Thriller"
tt0268288,Eva & Adam: Four Birthdays and a Fiasco,Catti Edfeldt,2001,100,"Family,Romance"
tt0269376,Island Prey,William Riead,2001,93,"Drama,Romance,Thriller"
tt0272950,The Zombie Chronicles,Brad Sykes,2001,71,Horror
tt0273253,Haiku Tunnel,"Jacob Kornbluth, Josh Kornbluth",2001,88,Comedy
tt0273607,Festival in Cannes,Henry Jaglom,2001,100,Comedy
tt0274321,Air Rage,Fred Olen Ray,2001,99,"Action,Adventure"
tt0275410,Horrorvision,Danny Draven,2001,72,"Horror,Sci-Fi,Thriller"
tt0283974,Return to Cabin by the Lake,Po-Chih Leong,2001,89,"Comedy,Horror,Thriller"
tt0284137,Gadar: Ek Prem Katha,Anil Sharma,2001,170,"Action,Drama,Romance"
tt0284717,The Crusaders,Dominique Othenin-Girard,2001,194,"Adventure,Drama"
tt0286610,Broken Bow,James L. Conway,2001,44,"Action,Adventure,Drama"
tt0286975,Slashers,Maurice Devereaux,2001,99,"Comedy,Horror"
tt0290661,Dog Days,Ulrich Seidl,2001,121,Drama
