question_index,question,implementation,method,repetitions,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,precision,recall,f1,cheap_cost_usd,expensive_cost_usd,total_cost_usd,cheap_cost_per_call_usd,expensive_cost_per_call_usd
1,q_01,suql_baseline,SUQL baseline,10,59.52189547559901,40.0,0.0,40.0,0.0,59.52189547559901,1.0,0.08333333333333333,0.15384615384615385,0.0,0.049601579562999175,0.049601579562999175,0.0,0.0012400394890749794
1,q_01,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,64.45357957889937,100.0,40.0,60.0,14.344875873183629,50.08707719140584,1.0,0.08333333333333333,0.15384615384615385,0.011954063227653024,0.0417392309928382,0.053693294220491225,0.0002988515806913256,0.0006956538498806367
1,q_01,trummer_baseline_adaptive_block_join,Trummer baseline,10,310.28679269710045,69.0,0.0,69.0,0.0,310.28679269710045,0.16666666666666666,0.25,0.2,0.0,0.2585723272475837,0.2585723272475837,0.0,0.0037474250325736772
1,q_01,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,93.50281038819958,8.0,5.0,3.0,13.003318164900701,80.49888291999886,1.0,0.08333333333333333,0.15384615384615385,0.010836098470750585,0.06708240243333238,0.07791850090408296,0.002167219694150117,0.022360800811110793
2,q_02,suql_baseline,SUQL baseline,10,43.95824487370046,40.0,0.0,40.0,0.0,43.95824487370046,0.875,0.5833333333333334,0.7000000000000001,0.0,0.036631870728083715,0.036631870728083715,0.0,0.0009157967682020928
2,q_02,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,77.58566468239879,100.0,40.0,60.0,13.730777647301148,63.8330583045994,0.875,0.5833333333333334,0.7000000000000001,0.01144231470608429,0.05319421525383283,0.06463652995991712,0.00028605786765210727,0.0008865702542305472
2,q_02,trummer_baseline_adaptive_block_join,Trummer baseline,10,38.71580670799958,9.0,0.0,9.0,0.0,38.71580670799958,0.4,0.16666666666666666,0.23529411764705882,0.0,0.03226317225666632,0.03226317225666632,0.0,0.0035847969174073687
2,q_02,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,81.72106464779935,8.0,5.0,3.0,13.387960976300382,68.33249483740364,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.011156634146916986,0.056943745697836376,0.06810037984475337,0.002231326829383397,0.01898124856594546
3,q_03,suql_baseline,SUQL baseline,10,37.850099292500815,40.0,0.0,40.0,0.0,37.850099292500815,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0,0.03154174941041735,0.03154174941041735,0.0,0.0007885437352604336
3,q_03,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,80.81168065159946,100.0,40.0,60.0,14.815752460706426,65.97340137040737,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.012346460383922023,0.05497783447533948,0.0673242948592615,0.00030866150959805056,0.000916297241255658
3,q_03,trummer_baseline_adaptive_block_join,Trummer baseline,10,110.43782435149987,34.0,0.0,34.0,0.0,110.43782435149987,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.0,0.09203152029291656,0.09203152029291656,0.0,0.0027068094203798986
3,q_03,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,82.57922694459994,7.9,5.0,2.9,14.81332437400124,67.76526428740108,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.012344436978334367,0.05647105357283424,0.0688154905511686,0.0024688873956668733,0.01947277709408077
4,q_04,suql_baseline,SUQL baseline,10,40.13805405439998,40.0,0.0,40.0,0.0,40.13805405439998,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.0,0.033448378378666654,0.033448378378666654,0.0,0.0008362094594666664
4,q_04,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,68.45958867799854,100.0,40.0,60.0,13.74835061669437,54.68815562789314,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.01145695884724531,0.04557346302324428,0.057030421870489595,0.00028642397118113275,0.0007595577170540714
4,q_04,trummer_baseline_adaptive_block_join,Trummer baseline,10,93.5427149504998,13.0,0.0,13.0,0.0,93.5427149504998,1.0,0.16666666666666666,0.2857142857142857,0.0,0.07795226245874984,0.07795226245874984,0.0,0.005996327881442295
4,q_04,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,88.90363240180014,8.0,5.0,3.0,13.099234311400505,75.80373440590047,0.0,0.0,0.0,0.010916028592833754,0.06316977867158373,0.07408580726441748,0.002183205718566751,0.02105659289052791
5,q_05,suql_baseline,SUQL baseline,10,44.18069610129896,40.0,0.0,40.0,0.0,44.18069610129896,1.0,0.08333333333333333,0.15384615384615385,0.0,0.03681724675108247,0.03681724675108247,0.0,0.0009204311687770618
5,q_05,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,80.59030995209832,100.0,40.0,60.0,14.945799387298758,65.62100900768783,1.0,0.08333333333333333,0.15384615384615385,0.012454832822748965,0.0546841741730732,0.06713900699582216,0.00031137082056872413,0.0009114029028845533
5,q_05,trummer_baseline_adaptive_block_join,Trummer baseline,10,207.5153632451016,64.4,0.0,64.4,0.0,207.5153632451016,0.4,0.3333333333333333,0.3636363636363636,0.0,0.17292946937091802,0.17292946937091802,0.0,0.0026852402076229503
5,q_05,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,87.37001289120016,8.0,5.0,3.0,16.001998598600768,71.36740312479961,0.0,0.0,0.0,0.013334998832167308,0.05947283593733301,0.07280783476950031,0.0026669997664334616,0.01982427864577767
