question_index,question,implementation,method,repetitions,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,precision,recall,f1,cheap_cost_usd,expensive_cost_usd,total_cost_usd,cheap_cost_per_call_usd,expensive_cost_per_call_usd
1,q_01,suql_baseline,SUQL baseline,10,29.941834518800533,40.0,0.0,40.0,0.0,29.941834518800533,1.0,0.16666666666666666,0.2857142857142857,0.0,0.024951528765667114,0.024951528765667114,0.0,0.0006237882191416778
1,q_01,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,40.81053360350052,60.0,40.0,20.0,33.60507136130509,7.187750893401608,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.028004226134420912,0.0059897924111680075,0.03399401854558892,0.0007001056533605228,0.00029948962055840035
1,q_01,trummer_baseline_adaptive_block_join,Trummer baseline,10,134.47991325799958,186.0,0.0,186.0,0.0,134.47991325799958,0.4,0.3333333333333333,0.3636363636363636,0.0,0.11206659438166633,0.11206659438166633,0.0,0.0006025085719444426
1,q_01,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,55.60250025889909,8.0,5.0,3.0,36.30501382290022,19.29680671370188,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.030254178185750186,0.016080672261418235,0.046334850447168424,0.006050835637150037,0.005360224087139411
2,q_02,suql_baseline,SUQL baseline,10,15.525886280501435,40.0,0.0,40.0,0.0,15.525886280501435,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.0,0.01293823856708453,0.01293823856708453,0.0,0.00032345596417711326
2,q_02,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,49.12913917529804,100.0,40.0,60.0,25.341172930294853,23.76511045560037,0.8571428571428571,0.5,0.631578947368421,0.021117644108579046,0.01980425871300031,0.040921902821579356,0.0005279411027144761,0.00033007097855000515
2,q_02,trummer_baseline_adaptive_block_join,Trummer baseline,10,27.966680721900776,19.0,0.0,19.0,0.0,27.966680721900776,1.0,0.16666666666666666,0.2857142857142857,0.0,0.023305567268250647,0.023305567268250647,0.0,0.0012266088035921394
2,q_02,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,56.42534905020075,8.0,5.0,3.0,36.93898118369907,19.48568649259905,1.0,0.08333333333333333,0.15384615384615385,0.030782484319749226,0.016238072077165877,0.0470205563969151,0.006156496863949845,0.005412690692388626
3,q_03,suql_baseline,SUQL baseline,10,15.662364219300798,40.0,0.0,40.0,0.0,15.662364219300798,0.75,0.75,0.75,0.0,0.013051970182750667,0.013051970182750667,0.0,0.0003262992545687667
3,q_03,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,48.118232848798655,100.0,40.0,60.0,25.199931314402058,22.897436854497936,0.8181818181818182,0.75,0.7826086956521738,0.020999942762001716,0.01908119737874828,0.040081140140749996,0.0005249985690500429,0.00031801995631247133
3,q_03,trummer_baseline_adaptive_block_join,Trummer baseline,10,42.64065581219984,53.0,0.0,53.0,0.0,42.64065581219984,0.42105263157894735,0.6666666666666666,0.5161290322580646,0.0,0.035533879843499865,0.035533879843499865,0.0,0.0006704505630849031
3,q_03,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,55.87035510989881,8.0,5.0,3.0,36.438092142499954,19.43157992580236,0.4,0.16666666666666666,0.23529411764705882,0.03036507678541663,0.016192983271501968,0.04655806005691859,0.006073015357083326,0.005397661090500656
4,q_04,suql_baseline,SUQL baseline,10,15.303450468899973,40.0,0.0,40.0,0.0,15.303450468899973,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.0,0.012752875390749978,0.012752875390749978,0.0,0.0003188218847687494
4,q_04,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,32.35475309050016,60.0,40.0,20.0,25.07871539579937,7.258412587697967,0.7692307692307693,0.8333333333333334,0.8,0.020898929496499477,0.006048677156414973,0.02694760665291445,0.0005224732374124869,0.00030243385782074863
4,q_04,trummer_baseline_adaptive_block_join,Trummer baseline,10,110.28828696760101,212.0,0.0,212.0,0.0,110.28828696760101,0.45,0.75,0.5625000000000001,0.0,0.09190690580633418,0.09190690580633418,0.0,0.00043352314059591593
4,q_04,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,56.040942119798274,8.0,5.0,3.0,36.63526418689944,19.404970854999554,0.0,0.0,0.0,0.030529386822416203,0.016170809045832964,0.04670019586824917,0.0061058773644832405,0.005390269681944321
5,q_05,suql_baseline,SUQL baseline,10,17.296393082002034,40.0,0.0,40.0,0.0,17.296393082002034,1.0,0.08333333333333333,0.15384615384615385,0.0,0.014413660901668362,0.014413660901668362,0.0,0.00036034152254170904
5,q_05,suql_v1_two_level_cascade,SUQL V1 (2-level cascade),10,51.87192235809998,100.0,40.0,60.0,25.776914612093968,26.072371118111185,1.0,0.08333333333333333,0.15384615384615385,0.021480762176744973,0.02172697593175932,0.0432077381085043,0.0005370190544186244,0.000362116265529322
5,q_05,trummer_baseline_adaptive_block_join,Trummer baseline,10,28.27449525439952,45.0,0.0,45.0,0.0,28.27449525439952,0.2,0.16666666666666666,0.1818181818181818,0.0,0.023562079378666268,0.023562079378666268,0.0,0.0005236017639703615
5,q_05,trummer_v1_structured_two_level_cascade,Trummer V1 (structured + 2-level cascade),10,43.87979603450076,7.0,5.0,2.0,37.15227243269983,6.72686755409959,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.030960227027249862,0.005605722961749659,0.03656594998899952,0.006192045405449972,0.0028028614808748293
