movie_block,review_block,seconds,prompt_tokens,completion_tokens,matches
1,1,7.449,2081,25,0
1,2,0.740,2028,29,0
1,3,0.795,2102,39,0
1,4,0.756,2282,20,0
1,5,0.752,2354,20,0
1,6,0.713,2369,22,0
1,7,0.725,1542,20,0
1,8,0.760,2541,20,0
1,9,0.711,1634,22,0
1,10,0.640,2334,21,0
1,11,0.830,2374,37,0
1,12,0.757,2201,20,0
1,13,0.723,1911,20,0
1,14,0.680,2253,20,0
1,15,0.757,2353,20,0
1,16,0.763,2278,20,0
1,17,0.774,2381,26,0
1,18,0.720,1939,29,0
1,19,0.712,2087,34,0
1,20,0.739,2345,27,0
1,21,0.729,2046,22,0
1,22,0.765,2319,29,0
1,23,0.742,2173,20,0
1,24,0.774,2538,21,0
1,25,0.833,2010,37,0
1,26,0.751,2120,20,0
1,27,0.762,2057,20,0
1,28,0.767,2559,29,0
1,29,0.687,1951,20,0
1,30,0.768,2790,21,0
1,31,0.716,2123,20,0
1,32,0.764,2331,20,0
1,33,0.768,1937,29,0
1,34,0.765,2362,20,0
1,35,0.875,2789,42,0
1,36,0.787,2327,22,0
1,37,0.766,2277,20,0
1,38,0.770,2309,20,0
1,39,0.760,2507,16,0
1,40,0.712,1815,29,0
1,41,0.750,2400,20,0
1,42,0.759,2267,20,0
1,43,0.812,2482,31,0
1,44,0.763,2271,20,0
1,45,0.796,2184,36,0
1,46,0.761,2326,20,0
1,47,0.804,2596,22,0
1,48,0.771,2353,22,0
1,49,0.701,1970,17,0
1,50,0.719,2187,18,0
1,51,0.760,2239,20,0
1,52,0.754,2165,21,0
1,53,0.654,2066,16,0
1,54,0.712,2009,16,0
1,55,0.794,2155,31,0
1,56,0.701,2259,20,0
1,57,0.757,2422,16,0
1,58,0.772,2142,20,0
1,59,0.750,2308,20,0
1,60,0.697,1653,17,0
1,61,0.753,2047,29,0
1,62,0.848,2616,41,0
1,63,0.710,1762,25,0
1,64,0.765,2260,22,0
1,65,0.727,2156,17,0
1,66,0.750,2259,20,0
1,67,0.708,2226,20,0
1,68,0.776,2005,29,0
1,69,0.728,2069,20,0
1,70,0.747,2195,20,0
1,71,0.617,1831,17,0
1,72,0.746,2270,20,0
1,73,0.804,2784,26,0
1,74,0.696,1933,10,0
1,75,0.794,2319,15,0
1,76,0.727,2268,17,0
1,77,0.753,2358,20,0
1,78,0.753,2543,16,0
1,79,0.751,1901,29,0
1,80,0.723,1970,20,0
1,81,0.783,2334,29,0
1,82,0.813,2243,36,0
1,83,0.736,2033,20,0
1,84,0.719,2168,21,0
1,85,0.786,2442,22,0
1,86,0.794,2579,21,0
1,87,0.694,1895,20,0
1,88,0.731,1760,29,0
1,89,0.713,1647,21,0
1,90,0.747,1987,29,0
1,91,0.763,2290,21,0
1,92,0.767,2398,22,0
1,93,0.778,2403,20,0
1,94,0.812,2760,21,0
1,95,0.783,2447,20,0
1,96,0.744,2071,21,0
1,97,0.710,2554,21,0
1,98,0.708,1747,22,0
1,99,0.728,2132,20,0
1,100,0.744,2208,20,0
1,101,0.731,2171,22,0
